sample,date,molecules,EC50,Sd,p_value,Tmax,Tmax_rel,plot,host,mlg,buvo_gen_dist
P1S1,180606,-eGR24,1.37E-12,4.21E-13,0.00371,0.411,1.39697322467986,P1,Oilseed rape,MLG17,0
P1S2,180606,-eGR24,2.75E-12,1.03E-12,0.0141,0.554,1.474784189005,P1,Oilseed rape,MLG17,0
P1S3,180606,-eGR24,5.63E-12,1.88E-12,0.00922,0.389,1.48164146868251,P1,Oilseed rape,MLG16,0
P1S4,180606,-eGR24,5.27E-12,1.24E-12,0.000551,0.465,1.17567567567568,P1,Oilseed rape,MLG17,0
P2S1,180613,-eGR24,5.31E-13,1.61E-13,0.00459,0.472,1.07309204556911,P2,Oilseed rape,MLG15,0
P2S2,180606,-eGR24,4.41E-12,1.99E-12,0.0399,0.401,1.13997078870497,P2,Oilseed rape,MLG17,0
P2S3,180606,-eGR24,3.05E-12,1.01E-12,0.00594,0.426,1.25249003984064,P2,Oilseed rape,MLG17,0
P2S4,180613,-eGR24,6.55E-13,2.89E-13,0.0446,0.523,1.09417889256981,P2,Oilseed rape,MLG17,0
P3S1,190314,-eGR24,1.84E-12,6.06E-13,0.00561,0.239,1.26686217008798,P3,Tobacco,MLG6,0.518211364746094
P3S2,180613,-eGR24,NA,NA,NA,NA,NA,P3,Tobacco,MLG7,0.530706787109375
P3S3,180613,-eGR24,1.64E-12,6.77E-13,0.0258,0.434,1.53522788203753,P3,Tobacco,MLG7,0.530706787109375
P3S4,180627,-eGR24,NA,NA,NA,NA,NA,P3,Tobacco,MLG7,0.530706787109375
P3S5,180627,-eGR24,NA,NA,NA,NA,NA,P3,Tobacco,MLG5,0.518217468261719
P4S1,180704,-eGR24,1.03E-12,2.03E-13,8.16E-05,0.472,1.18706199460916,P4,Tobacco,MLG1,0.474693298339844
P4S2,180704,-eGR24,1.82E-12,4.30E-13,9.70E-04,0.805,2.34180138568129,P4,Tobacco,MLG2,0.474693298339844
P4S3,180704,-eGR24,7.04E-13,2.80E-13,2.21E-02,0.389,1.12606730286288,P4,Tobacco,MLG3,0.493125915527344
P4S4,180704,-eGR24,2.67E-12,4.06E-13,2.68E-06,0.432,1.07834833245103,P4,Tobacco,MLG4,0.480943298339844
P5S1,190306,-eGR24,4.03E-13,3.09E-13,0.206,0.302,1.42735042735043,P5,Tobacco,MLG8,0.524481201171875
P5S2,190306,-eGR24,5.61E-13,7.12E-13,0.446,0.302,1.42735042735043,P5,Tobacco,MLG9,0.511993408203125
P6S1,190306,-eGR24,4.11E-10,7.4E-11,1.19E-05,0.586,0.931712364200724,P6,Hemp,MLG12,0.532745361328125
P6S2,190306,-eGR24,4.16E-10,1.16E-10,0.00147,0.302,1.26923076923077,P6,Hemp,MLG11,0.520245361328125
P6S3,190306,-eGR24,1.88E-10,5.67E-11,0.00298,0.267,1.22585794094174,P6,Hemp,MLG10,0.507745361328125
P7S1,180627,-eGR24,3.44E-11,2.31E-10,0.884,0.567,1.31409001956947,P7,Hemp,MLG13,0.532696533203125
P7S2,190421,-eGR24,9.87E-10,2.41E-10,4.80E-04,0.127,1.26891522333637,P7,Hemp,MLG13,0.532696533203125
P7S3,180613,-eGR24,1.04E-09,2.5E-10,0.000478,0.231,1.24008350730689,P7,Hemp,MLG14,0.545196533203125
P7S4,180613,-eGR24,1.02E-09,1.17E-10,6.66E-08,0.46,0.969967151572032,P7,Hemp,MLG14,0.545196533203125
P1S1,180606,-GR24,4.65E-09,1.26E-09,0.00217,0.528,1.43272794662713,P1,Oilseed rape,MLG17,0
P1S2,180606,-GR24,7.08E-10,1.50E-09,6.42E-01,0.465,1.31204644412192,P1,Oilseed rape,MLG17,0
