Group 1,Group 2,H,p-value,q-value
MLG1 (n=24),MLG10 (n=6),2.107526881720432,0.14657603430899643,0.508440605587676
MLG1 (n=24),MLG11 (n=6),2.9274193548387046,0.08708659633486211,0.48314653614337294
MLG1 (n=24),MLG12 (n=24),3.0,0.08326451666355042,0.48314653614337294
MLG1 (n=24),MLG13 (n=12),3.2837837837837895,0.06996744829844546,0.48314653614337294
MLG1 (n=24),MLG14 (n=12),4.190315315315317,0.04065553488765923,0.48314653614337294
MLG1 (n=24),MLG15 (n=6),0.13172043010753498,0.7166548650599947,1.0
MLG1 (n=24),MLG16 (n=3),0.005952380952379599,0.9385028847784783,1.0
MLG1 (n=24),MLG17 (n=45),1.2573015873016118,0.2621624819775932,0.6920128678875517
MLG1 (n=24),MLG2 (n=6),2.107526881720432,0.14657603430899643,0.508440605587676
MLG1 (n=24),MLG3 (n=6),0.45430107526883035,0.5002994875609154,1.0
MLG1 (n=24),MLG4 (n=6),0.09677419354838435,0.7557356175737303,1.0
MLG1 (n=24),MLG5 (n=6),0.024193548387103192,0.8763934510755662,1.0
MLG1 (n=24),MLG6 (n=6),0.06720430107527875,0.7954516721040452,1.0
MLG1 (n=24),MLG7 (n=36),0.01844262295082899,0.8919765299709287,1.0
MLG1 (n=24),MLG8 (n=6),0.17204301075270223,0.6783024655972199,1.0
MLG1 (n=24),MLG9 (n=6),0.13172043010753498,0.7166548650599947,1.0
MLG1 (n=24),NA (n=19),2.3738038277512032,0.12338607625281045,0.508440605587676
MLG10 (n=6),MLG11 (n=6),0.6410256410256494,0.42333964158244053,0.9525141935604913
MLG10 (n=6),MLG12 (n=24),6.193548387096769,0.012821684691391602,0.21796863975365724
MLG10 (n=6),MLG13 (n=12),0.008771929824561653,0.9253803730416995,1.0
MLG10 (n=6),MLG14 (n=12),0.0,1.0,1.0
MLG10 (n=6),MLG15 (n=6),3.1025641025641093,0.07816908582428284,0.48314653614337294
MLG10 (n=6),MLG16 (n=3),0.2666666666666657,0.6055766163353469,1.0
MLG10 (n=6),MLG17 (n=45),6.770085470085462,0.00926983953967814,0.1772856811963444
MLG10 (n=6),MLG2 (n=6),0.025641025641029103,0.8727801237939032,1.0
MLG10 (n=6),MLG3 (n=6),0.0,1.0,1.0
MLG10 (n=6),MLG4 (n=6),0.0,1.0,1.0
MLG10 (n=6),MLG5 (n=6),0.0,1.0,1.0
MLG10 (n=6),MLG6 (n=6),0.0,1.0,1.0
MLG10 (n=6),MLG7 (n=36),1.3229974160206837,0.2500548159408775,0.6920128678875517
