Group 1,Group 2,H,p-value,q-value
NA (n=13),P0 (n=6),6.923076923076934,0.008509044404861258,0.03403617761944503
NA (n=13),P1 (n=12),0.18934911242604358,0.6634588985101078,0.7715490307803591
NA (n=13),P2 (n=42),1.1444270015698805,0.2847188195380104,0.5350070426617125
NA (n=13),P3 (n=48),0.019851116625318355,0.8879536894905065,0.9311015617260191
NA (n=13),P4 (n=42),0.06632653061222982,0.7967624218352548,0.8691953692748234
NA (n=13),P5 (n=12),0.57988165680473,0.4463587114224611,0.6460265081691086
NA (n=13),P6 (n=36),0.14820512820512022,0.7002565367900933,0.787788603888855
NA (n=13),P7 (n=24),0.8512145748987763,0.35620896737694985,0.5580471653961342
P0 (n=6),P1 (n=12),11.368421052631575,0.0007470335539467568,0.0038418868488690346
P0 (n=6),P2 (n=42),14.464528668610313,0.0001428238979184585,0.001702736825889902
P0 (n=6),P3 (n=48),11.648484848484856,0.0006425484880441133,0.0038418868488690346
P0 (n=6),P4 (n=42),14.464528668610313,0.0001428238979184585,0.001702736825889902
P0 (n=6),P5 (n=12),3.868421052631575,0.049202789177490325,0.14292665721269593
P0 (n=6),P6 (n=36),12.156330749353998,0.0004892152537678946,0.003522349827128841
P0 (n=6),P7 (n=24),13.935483870967744,0.00018919298065443355,0.001702736825889902
P1 (n=12),P2 (n=42),1.2160173160173429,0.2701436737936436,0.5350070426617125
P1 (n=12),P3 (n=48),0.34972677595629875,0.5542678363243099,0.7390237817657465
P1 (n=12),P4 (n=42),0.4432900432900624,0.5055387512836315,0.6999767325465667
P1 (n=12),P5 (n=12),0.0,1.0,1.0
P1 (n=12),P6 (n=36),0.014172335600903807,0.9052376294558518,0.9311015617260191
P1 (n=12),P7 (n=24),3.7882882882882853,0.051612403993473534,0.14292665721269593
P2 (n=42),P3 (n=48),0.8500784929356655,0.35653013344753015,0.5580471653961342
P2 (n=42),P4 (n=42),2.798639455782336,0.09434433299353849,0.2425997134119561
P2 (n=42),P5 (n=12),0.24935064935064588,0.617532676734063,0.7715490307803591
P2 (n=42),P6 (n=36),0.9648382559774973,0.3259708855729616,0.5580471653961342
P2 (n=42),P7 (n=24),15.149964463397254,9.930018159601545e-05,0.001702736825889902
P3 (n=48),P4 (n=42),1.1570512820512704,0.2820779190565354,0.5350070426617125
P3 (n=48),P5 (n=12),0.5741120218579283,0.4486295195618809,0.6460265081691086
P3 (n=48),P6 (n=36),0.1882352941176748,0.6643894431719759,0.7715490307803591
P3 (n=48),P7 (n=24),5.260273972602732,0.021817584048146172,0.07854330257332622
P4 (n=42),P5 (n=12),1.4064935064935185,0.23563936436816196,0.5301885698283645
P4 (n=42),P6 (n=36),1.0865983524211345,0.2972261348120625,0.5350070426617125
P4 (n=42),P7 (n=24),2.688166311300648,0.10109609448455682,0.24263062676293637
P5 (n=12),P6 (n=36),0.2046485260770794,0.6509945665205338,0.7715490307803591
P5 (n=12),P7 (n=24),4.612612612612608,0.03173764492586082,0.10386865612099905
P6 (n=36),P7 (n=24),7.459244080145709,0.006311150335229971,0.028400176508534873
