Group 1,Group 2,H,p-value,q-value
Control (n=5),H2O (n=3),0.5555555555555571,0.4560565402502553,0.7936983998741286
Control (n=5),Mock (n=2),2.3999999999999986,0.12133525035848367,0.36696514742565794
Control (n=5),P1S1 (n=3),1.0888888888888886,0.29671752632205745,0.6081483184121508
Control (n=5),P1S2 (n=3),3.755555555555553,0.052632302565740766,0.19927955780616352
Control (n=5),P1S3 (n=3),0.5555555555555571,0.4560565402502553,0.7936983998741286
Control (n=5),P1S4 (n=3),5.0,0.025347318677468325,0.14126146139353132
Control (n=5),P2S1 (n=6),2.13333333333334,0.14412703481601052,0.3803718557639326
Control (n=5),P2S2 (n=24),9.719999999999999,0.0018227351663914028,0.11890272344014034
Control (n=5),P2S3 (n=6),2.13333333333334,0.14412703481601052,0.3803718557639326
Control (n=5),P2S4 (n=6),2.13333333333334,0.14412703481601052,0.3803718557639326
Control (n=5),P3S1 (n=6),2.700000000000003,0.10034824646229042,0.31702375952417866
Control (n=5),P3S2 (n=24),3.413333333333341,0.06467168750236339,0.23760857037905367
Control (n=5),P3S3 (n=6),2.700000000000003,0.10034824646229042,0.31702375952417866
Control (n=5),P3S4 (n=6),2.700000000000003,0.10034824646229042,0.31702375952417866
Control (n=5),P3S5 (n=6),2.13333333333334,0.14412703481601052,0.3803718557639326
Control (n=5),P4S1 (n=24),3.853333333333339,0.049647229657455896,0.18942327623152405
Control (n=5),P4S2 (n=6),1.63333333333334,0.2012426209577194,0.44962315313076046
Control (n=5),P4S3 (n=6),0.30000000000000426,0.5838824207703623,0.9402781840977263
Control (n=5),P4S4 (n=6),0.30000000000000426,0.5838824207703623,0.9402781840977263
Control (n=5),P5S1 (n=6),2.700000000000003,0.10034824646229042,0.31702375952417866
Control (n=5),P5S2 (n=6),2.700000000000003,0.10034824646229042,0.31702375952417866
Control (n=5),P6S1 (n=24),7.0533333333333275,0.00791178868071149,0.11890272344014034
Control (n=5),P6S2 (n=6),0.5333333333333385,0.46520881845213957,0.8067957131197945
Control (n=5),P6S3 (n=6),1.2000000000000028,0.27332167829229437,0.5648648018040751
Control (n=5),P7S1 (n=6),1.2000000000000028,0.27332167829229437,0.5648648018040751
Control (n=5),P7S2 (n=6),2.700000000000003,0.10034824646229042,0.31702375952417866
Control (n=5),P7S3 (n=6),1.2000000000000028,0.27332167829229437,0.5648648018040751
Control (n=5),P7S4 (n=6),1.63333333333334,0.2012426209577194,0.44962315313076046
Control (n=5),PBS (n=3),5.0,0.025347318677468325,0.14126146139353132
