id	Category	sample	host	plot	MLG	pielou_e
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
Seed_Control_a	Seed	Control	NA	NA	NA	0.865111716550561
Soil_Control_a	Soil	Control	NA	NA	NA	0.841570335681657
Germ_Control_a	Germ	Control	NA	NA	NA	0.929062686490628
Germ_Control_b	Germ	Control	NA	NA	NA	0.939158952083316
Germ_Control_c	Germ	Control	NA	NA	NA	0.92367832759506
Seed_H2O_a	Seed	H2O	NA	NA	NA	0.851360691694165
Seed_H2O_b	Seed	H2O	NA	NA	NA	0.906496961953805
Seed_H2O_c	Seed	H2O	NA	NA	NA	0.911741156662881
Seed_Mock_a	Seed	Mock	NA	NA	NA	0.846862878921785
Soil_Mock_a	Soil	Mock	NA	NA	NA	0.791928287585228
Seed_P1S1_a	Seed	P1S1	oIlseed_rape	P1	MLG17	0.859074398097741
Seed_P1S1_b	Seed	P1S1	oIlseed_rape	P1	MLG17	0.859458024958104
Seed_P1S1_c	Seed	P1S1	oIlseed_rape	P1	MLG17	0.871283723718011
Seed_P1S2_a	Seed	P1S2	oIlseed_rape	P1	MLG17	0.80979103818053
Seed_P1S2_b	Seed	P1S2	oIlseed_rape	P1	MLG17	0.844339019565218
Seed_P1S2_c	Seed	P1S2	oIlseed_rape	P1	MLG17	0.837100514544792
Seed_P1S3_a	Seed	P1S3	oIlseed_rape	P1	MLG16	0.871872351555356
Seed_P1S3_b	Seed	P1S3	oIlseed_rape	P1	MLG16	0.866582351559306
Seed_P1S3_c	Seed	P1S3	oIlseed_rape	P1	MLG16	0.861952295590795
Seed_P1S4_a	Seed	P1S4	oIlseed_rape	P1	MLG17	0.816267881366327
Seed_P1S4_b	Seed	P1S4	oIlseed_rape	P1	MLG17	0.826978896516204
Seed_P1S4_c	Seed	P1S4	oIlseed_rape	P1	MLG17	0.838661790648591
Seed_P2S1_a	Seed	P2S1	oIlseed_rape	P2	MLG15	0.836998371450924
Seed_P2S1_b	Seed	P2S1	oIlseed_rape	P2	MLG15	0.84374772975972
Seed_P2S1_c	Seed	P2S1	oIlseed_rape	P2	MLG15	0.86374942292324
Soil_P2S1_a	Soil	P2S1	oIlseed_rape	P2	MLG15	0.877745486263367
Soil_P2S1_b	Soil	P2S1	oIlseed_rape	P2	MLG15	0.898019199589683
Soil_P2S1_c	Soil	P2S1	oIlseed_rape	P2	MLG15	0.848174548248432
Seed_P2S2_a	Seed	P2S2	oIlseed_rape	P2	MLG17	0.778935064597054
Seed_P2S2_b	Seed	P2S2	oIlseed_rape	P2	MLG17	0.818171953876925
Seed_P2S2_c	Seed	P2S2	oIlseed_rape	P2	MLG17	0.828423148142516
Soil_P2S2_a	Soil	P2S2	oIlseed_rape	P2	MLG17	0.911470711037479
Soil_P2S2_b	Soil	P2S2	oIlseed_rape	P2	MLG17	0.907656047463191
Soil_P2S2_c	Soil	P2S2	oIlseed_rape	P2	MLG17	0.906714388942151
Germ_P2S2_ACN_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.734140441192175
Germ_P2S2_ACN_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.768986721787642
Germ_P2S2_ACN_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.766887723861961
Germ_P2S2_GR24_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.756332492926612
Germ_P2S2_GR24_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.790445386516469
Germ_P2S2_GR24_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.740790555006819
Germ_P2S2_Colza_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.77879005179245
Germ_P2S2_Colza_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.786225671793668
Germ_P2S2_Colza_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.811175863303287
Germ_P2S2_Colza_myro_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.809301083023752
Germ_P2S2_Colza_myro_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.837158570362892
Germ_P2S2_Colza_myro_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.840811653377625
Germ_P2S2_Chanvre_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.813623297138396
Germ_P2S2_Chanvre_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.811463325206074
Germ_P2S2_Chanvre_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.788199128355839
Germ_P2S2_Tabac_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.808313177618579
Germ_P2S2_Tabac_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.767702546043956
Germ_P2S2_Tabac_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.825760131121145
Seed_P2S3_a	Seed	P2S3	oIlseed_rape	P2	MLG17	0.837896649914637
Seed_P2S3_b	Seed	P2S3	oIlseed_rape	P2	MLG17	0.820778875978733
Seed_P2S3_c	Seed	P2S3	oIlseed_rape	P2	MLG17	0.841957243193517
Soil_P2S3_a	Soil	P2S3	oIlseed_rape	P2	MLG17	0.920240006040192
Soil_P2S3_b	Soil	P2S3	oIlseed_rape	P2	MLG17	0.914057538704839
Soil_P2S3_c	Soil	P2S3	oIlseed_rape	P2	MLG17	0.903673660533637
Seed_P2S4_a	Seed	P2S4	oIlseed_rape	P2	MLG17	0.839615142828928
Seed_P2S4_b	Seed	P2S4	oIlseed_rape	P2	MLG17	0.851971606693326
Seed_P2S4_c	Seed	P2S4	oIlseed_rape	P2	MLG17	0.832034651719889
Soil_P2S4_a	Soil	P2S4	oIlseed_rape	P2	MLG17	0.905292611510051
Soil_P2S4_b	Soil	P2S4	oIlseed_rape	P2	MLG17	0.898093053391445
Soil_P2S4_c	Soil	P2S4	oIlseed_rape	P2	MLG17	0.908586043015583
Seed_P3S1_a	Seed	P3S1	tobacco	P3	MLG6	0.75820385519449
Seed_P3S1_b	Seed	P3S1	tobacco	P3	MLG6	0.728157045278493
Seed_P3S1_c	Seed	P3S1	tobacco	P3	MLG6	0.728471367861885
Soil_P3S1_a	Soil	P3S1	tobacco	P3	MLG6	0.921674920310279
Soil_P3S1_b	Soil	P3S1	tobacco	P3	MLG6	0.909239927022254
Soil_P3S1_c	Soil	P3S1	tobacco	P3	MLG6	0.909189825641287
Seed_P3S2_a	Seed	P3S2	tobacco	P3	MLG7	0.816822440575889
Seed_P3S2_b	Seed	P3S2	tobacco	P3	MLG7	0.818640785046169
Seed_P3S2_c	Seed	P3S2	tobacco	P3	MLG7	0.827991664486537
Soil_P3S2_a	Soil	P3S2	tobacco	P3	MLG7	0.912363193004655
Soil_P3S2_b	Soil	P3S2	tobacco	P3	MLG7	0.913285397138084
Soil_P3S2_c	Soil	P3S2	tobacco	P3	MLG7	0.902744681079427
Germ_P3S2_ACN_a	Germ	P3S2	tobacco	P3	MLG7	0.864174230026505
Germ_P3S2_ACN_b	Germ	P3S2	tobacco	P3	MLG7	0.868199928788789
Germ_P3S2_ACN_c	Germ	P3S2	tobacco	P3	MLG7	0.812407527448661
Germ_P3S2_GR24_a	Germ	P3S2	tobacco	P3	MLG7	0.855219485128927
Germ_P3S2_GR24_b	Germ	P3S2	tobacco	P3	MLG7	0.862423900879005
Germ_P3S2_GR24_c	Germ	P3S2	tobacco	P3	MLG7	0.831019268068556
