Group 1,Group 2,H,p-value,q-value
MLG1 (n=24),MLG10 (n=6),0.7768817204301115,0.3780965203314165,0.8025879128000007
MLG1 (n=24),MLG11 (n=6),0.9704301075268944,0.32457293475435933,0.7411889405584624
MLG1 (n=24),MLG12 (n=24),3.8371598639455726,0.050128366382368394,0.45115529744131555
MLG1 (n=24),MLG13 (n=12),0.7612612612612537,0.3829341021856213,0.8025879128000007
MLG1 (n=24),MLG14 (n=12),0.36486486486487024,0.5458167496705233,0.9941662226141673
MLG1 (n=24),MLG15 (n=6),0.2688172043010866,0.6041263073291608,1.0
MLG1 (n=24),MLG16 (n=3),0.3809523809523796,0.5370939784426423,0.9900648036352322
MLG1 (n=24),MLG17 (n=45),1.0673015873015856,0.30155574969685117,0.7241090654136738
MLG1 (n=24),MLG2 (n=6),1.1854838709677438,0.2762424094447344,0.6816949781458768
MLG1 (n=24),MLG3 (n=6),0.21774193548387188,0.6407658627055887,1.0
MLG1 (n=24),MLG4 (n=6),0.010752688172047442,0.9174112601920241,1.0
MLG1 (n=24),MLG5 (n=6),0.0026881720430225187,0.9586501393763696,1.0
MLG1 (n=24),MLG6 (n=6),0.010752688172047442,0.9174112601920241,1.0
MLG1 (n=24),MLG7 (n=36),0.31170309653916206,0.5766369728853431,1.0
MLG1 (n=24),MLG8 (n=6),0.06720430107527875,0.7954516721040452,1.0
MLG1 (n=24),MLG9 (n=6),0.024193548387103192,0.8763934510755662,1.0
MLG1 (n=24),NA (n=19),15.120215311004785,0.00010087726163368349,0.005144740343317858
MLG10 (n=6),MLG11 (n=6),0.025641025641029103,0.8727801237939032,1.0
MLG10 (n=6),MLG12 (n=24),2.583333333333343,0.10799402810510615,0.48680483513713657
MLG10 (n=6),MLG13 (n=12),0.14035087719297934,0.7079324417918903,1.0
MLG10 (n=6),MLG14 (n=12),1.973684210526315,0.16005734623194084,0.48726552597743206
MLG10 (n=6),MLG15 (n=6),0.4102564102564159,0.5218393903336124,0.9736759356224719
MLG10 (n=6),MLG16 (n=3),0.0,1.0,1.0
MLG10 (n=6),MLG17 (n=45),2.4008547008547225,0.12126897779766091,0.48680483513713657
MLG10 (n=6),MLG2 (n=6),0.4102564102564159,0.5218393903336124,0.9736759356224719
MLG10 (n=6),MLG3 (n=6),0.0,1.0,1.0
MLG10 (n=6),MLG4 (n=6),0.025641025641029103,0.8727801237939032,1.0
MLG10 (n=6),MLG5 (n=6),0.0,1.0,1.0
MLG10 (n=6),MLG6 (n=6),2.07692307692308,0.1495413545846106,0.48680483513713657
MLG10 (n=6),MLG7 (n=36),1.9651162790697754,0.1609671969711467,0.48726552597743206
MLG10 (n=6),MLG8 (n=6),2.07692307692308,0.1495413545846106,0.48680483513713657
MLG10 (n=6),MLG9 (n=6),0.9230769230769269,0.336668367610035,0.7465255107874689
MLG10 (n=6),NA (n=19),9.327935222672068,0.0022568651442211535,0.03836670745175961
MLG11 (n=6),MLG12 (n=24),2.583333333333343,0.10799402810510615,0.48680483513713657
