Group 1,Group 2,H,p-value,q-value
NA (n=13),P0 (n=6),3.3923076923076962,0.0655012142569312,0.13939795961969323
NA (n=13),P1 (n=12),6.8165680473372845,0.00903159654568922,0.027094789637067664
NA (n=13),P2 (n=42),9.551020408163282,0.001998382944757856,0.007993531779031424
NA (n=13),P3 (n=48),7.548387096774206,0.006006381251187043,0.019657247731157595
NA (n=13),P4 (n=42),10.047095761381456,0.0015258830964028805,0.006866473933812962
NA (n=13),P5 (n=12),4.050295857988175,0.04416360422200812,0.11356355371373517
NA (n=13),P6 (n=36),7.885128205128183,0.004984294489621902,0.017943460162638848
NA (n=13),P7 (n=24),10.947368421052644,0.0009373665082735245,0.004820742042549554
P0 (n=6),P1 (n=12),11.368421052631575,0.0007470335539467568,0.004482201323680541
P0 (n=6),P2 (n=42),15.428571428571416,8.56829801091052e-05,0.001538558578095131
P0 (n=6),P3 (n=48),13.806818181818187,0.00020259966077295017,0.001538558578095131
P0 (n=6),P4 (n=42),13.994169096209902,0.00018337843775055303,0.001538558578095131
P0 (n=6),P5 (n=12),5.929824561403507,0.014886723833465808,0.04122477369267454
P0 (n=6),P6 (n=36),13.70671834625324,0.00021368869140210155,0.001538558578095131
P0 (n=6),P7 (n=24),13.935483870967744,0.00018919298065443355,0.001538558578095131
P1 (n=12),P2 (n=42),1.4562770562770595,0.22752341019689964,0.4358743380371819
P1 (n=12),P3 (n=48),0.15061475409837044,0.6979485682145989,0.8664189122663987
P1 (n=12),P4 (n=42),0.1108225108225156,0.7392096551285896,0.8812467013619609
P1 (n=12),P5 (n=12),0.0,1.0,1.0
P1 (n=12),P6 (n=36),1.4172335600907218,0.2338592826927383,0.4358743380371819
P1 (n=12),P7 (n=24),0.010135135135129758,0.9198097212207705,0.9825661461229219
P2 (n=42),P3 (n=48),0.07561486132914297,0.7833304012106319,0.8812467013619609
P2 (n=42),P4 (n=42),1.2108043217287445,0.2711728865210372,0.4358743380371819
P2 (n=42),P5 (n=12),0.4432900432900624,0.5055387512836315,0.6656777294130951
P2 (n=42),P6 (n=36),0.0016073940124670116,0.9680195257314949,0.9956772264666804
P2 (n=42),P7 (n=24),0.42661691542286917,0.5136536626428675,0.6656777294130951
P3 (n=48),P4 (n=42),1.1745159602302806,0.27847527152375506,0.4358743380371819
P3 (n=48),P5 (n=12),0.4183743169399179,0.517749345099074,0.6656777294130951
P3 (n=48),P6 (n=36),0.008169934640562815,0.9279791380049818,0.9825661461229219
P3 (n=48),P7 (n=24),3.384132420091305,0.06582681426485514,0.13939795961969323
P4 (n=42),P5 (n=12),1.3095238095238244,0.25248089032930293,0.4358743380371819
P4 (n=42),P6 (n=36),1.2155917219208447,0.2702275164812519,0.4358743380371819
P4 (n=42),P7 (n=24),0.07835820895519419,0.7795347677891316,0.8812467013619609
P5 (n=12),P6 (n=36),1.0,0.31731050786291115,0.4759657617943667
P5 (n=12),P7 (n=24),3.5315315315315274,0.060212145807874186,0.13939795961969323
P6 (n=36),P7 (n=24),0.5466757741347976,0.4596791611824653,0.6619379921027501
