Group 1,Group 2,H,p-value,q-value
Control (n=5),H2O (n=3),5.0,0.025347318677468325,0.1571533758003036
Control (n=5),Mock (n=2),3.75,0.052807511416113395,0.1925921004587665
Control (n=5),P1S1 (n=3),5.0,0.025347318677468325,0.1571533758003036
Control (n=5),P1S2 (n=3),5.0,0.025347318677468325,0.1571533758003036
Control (n=5),P1S3 (n=3),5.0,0.025347318677468325,0.1571533758003036
Control (n=5),P1S4 (n=3),5.0,0.025347318677468325,0.1571533758003036
Control (n=5),P2S1 (n=6),7.5,0.0061698993205441645,0.14215044284309317
Control (n=5),P2S2 (n=24),4.563333333333333,0.03266344168491132,0.1847305884516613
Control (n=5),P2S3 (n=6),7.5,0.0061698993205441645,0.14215044284309317
Control (n=5),P2S4 (n=6),7.5,0.0061698993205441645,0.14215044284309317
Control (n=5),P3S1 (n=6),0.8333333333333357,0.3613104285261781,0.7000389552694701
Control (n=5),P3S2 (n=24),5.603333333333339,0.01792633907663858,0.14215044284309317
Control (n=5),P3S3 (n=6),1.2000000000000028,0.27332167829229437,0.6035957492713139
Control (n=5),P3S4 (n=6),0.30000000000000426,0.5838824207703623,0.934188669932381
Control (n=5),P3S5 (n=6),0.30000000000000426,0.5838824207703623,0.934188669932381
Control (n=5),P4S1 (n=24),6.75,0.0093747684594349,0.14215044284309317
Control (n=5),P4S2 (n=6),7.5,0.0061698993205441645,0.14215044284309317
Control (n=5),P4S3 (n=6),2.700000000000003,0.10034824646229042,0.3231995470473769
Control (n=5),P4S4 (n=6),0.5333333333333385,0.46520881845213957,0.8270378994704704
Control (n=5),P5S1 (n=6),0.8333333333333357,0.3613104285261781,0.7000389552694701
Control (n=5),P5S2 (n=6),0.30000000000000426,0.5838824207703623,0.934188669932381
Control (n=5),P6S1 (n=24),2.8033333333333275,0.0940685547103809,0.30899339825396643
Control (n=5),P6S2 (n=6),7.5,0.0061698993205441645,0.14215044284309317
Control (n=5),P6S3 (n=6),7.5,0.0061698993205441645,0.14215044284309317
Control (n=5),P7S1 (n=6),4.0333333333333385,0.044609718024939585,0.1847305884516613
Control (n=5),P7S2 (n=6),5.63333333333334,0.017622090962324352,0.14215044284309317
Control (n=5),P7S3 (n=6),4.0333333333333385,0.044609718024939585,0.1847305884516613
Control (n=5),P7S4 (n=6),2.700000000000003,0.10034824646229042,0.3231995470473769
Control (n=5),PBS (n=3),5.0,0.025347318677468325,0.1571533758003036
Control (n=5),Pram_120 (n=3),1.8000000000000007,0.17971249487899588,0.45947112092774206
Control (n=5),Pram_120_d (n=3),5.0,0.025347318677468325,0.1571533758003036
H2O (n=3),Mock (n=2),3.0,0.08326451666355042,0.2771758407055101
H2O (n=3),P1S1 (n=3),0.42857142857142705,0.5126907602619241,0.8656599919915443
H2O (n=3),P1S2 (n=3),3.857142857142854,0.049534613435626915,0.1847305884516613
H2O (n=3),P1S3 (n=3),0.42857142857142705,0.5126907602619241,0.8656599919915443
H2O (n=3),P1S4 (n=3),3.857142857142854,0.049534613435626915,0.1847305884516613
H2O (n=3),P2S1 (n=6),0.2666666666666657,0.6055766163353469,0.934188669932381
H2O (n=3),P2S2 (n=24),4.666666666666657,0.03075356125927476,0.1847305884516613
H2O (n=3),P2S3 (n=6),0.06666666666666643,0.7962534147376396,1.0
H2O (n=3),P2S4 (n=6),0.0,1.0,1.0
H2O (n=3),P3S1 (n=6),0.0,1.0,1.0
H2O (n=3),P3S2 (n=24),2.8809523809523796,0.08963299426788943,0.29638643437915435
H2O (n=3),P3S3 (n=6),0.0,1.0,1.0
H2O (n=3),P3S4 (n=6),0.0,1.0,1.0
H2O (n=3),P3S5 (n=6),0.0,1.0,1.0
H2O (n=3),P4S1 (n=24),1.9285714285714306,0.16491482255329715,0.42826048160437374
H2O (n=3),P4S2 (n=6),0.0,1.0,1.0
H2O (n=3),P4S3 (n=6),0.0,1.0,1.0
H2O (n=3),P4S4 (n=6),0.0,1.0,1.0
H2O (n=3),P5S1 (n=6),0.06666666666666643,0.7962534147376396,1.0
H2O (n=3),P5S2 (n=6),0.0,1.0,1.0
H2O (n=3),P6S1 (n=24),3.720238095238088,0.05375670497585984,0.19321250484077163
H2O (n=3),P6S2 (n=6),0.0,1.0,1.0
H2O (n=3),P6S3 (n=6),0.0,1.0,1.0
H2O (n=3),P7S1 (n=6),0.0,1.0,1.0
H2O (n=3),P7S2 (n=6),0.0,1.0,1.0
H2O (n=3),P7S3 (n=6),0.0,1.0,1.0
H2O (n=3),P7S4 (n=6),0.0,1.0,1.0
H2O (n=3),PBS (n=3),3.857142857142854,0.049534613435626915,0.1847305884516613
H2O (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.1847305884516613
H2O (n=3),Pram_120_d (n=3),3.857142857142854,0.049534613435626915,0.1847305884516613
Mock (n=2),P1S1 (n=3),3.0,0.08326451666355042,0.2771758407055101
Mock (n=2),P1S2 (n=3),3.0,0.08326451666355042,0.2771758407055101
Mock (n=2),P1S3 (n=3),3.0,0.08326451666355042,0.2771758407055101
Mock (n=2),P1S4 (n=3),3.0,0.08326451666355042,0.2771758407055101
Mock (n=2),P2S1 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P2S2 (n=24),5.333333333333343,0.020921335337793955,0.14215044284309317
Mock (n=2),P2S3 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P2S4 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P3S1 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P3S2 (n=24),5.333333333333343,0.020921335337793955,0.14215044284309317
Mock (n=2),P3S3 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P3S4 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P3S5 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P4S1 (n=24),5.333333333333343,0.020921335337793955,0.14215044284309317
Mock (n=2),P4S2 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P4S3 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P4S4 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P5S1 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P5S2 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P6S1 (n=24),5.333333333333343,0.020921335337793955,0.14215044284309317
Mock (n=2),P6S2 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P6S3 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P7S1 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P7S2 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P7S3 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),P7S4 (n=6),4.0,0.04550026389635857,0.1847305884516613
Mock (n=2),PBS (n=3),3.0,0.08326451666355042,0.2771758407055101
Mock (n=2),Pram_120 (n=3),3.0,0.08326451666355042,0.2771758407055101
Mock (n=2),Pram_120_d (n=3),3.0,0.08326451666355042,0.2771758407055101
P1S1 (n=3),P1S2 (n=3),3.857142857142854,0.049534613435626915,0.1847305884516613
P1S1 (n=3),P1S3 (n=3),1.1904761904761898,0.27523352407483126,0.6035957492713139
