id	Category	sample	host	plot	MLG	shannon
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
Seed_Control_a	Seed	Control	NA	NA	NA	4.40122371148128
Soil_Control_a	Soil	Control	NA	NA	NA	3.63720647760634
Germ_Control_a	Germ	Control	NA	NA	NA	5.13173530989175
Germ_Control_b	Germ	Control	NA	NA	NA	5.12727407792993
Germ_Control_c	Germ	Control	NA	NA	NA	4.84739690895768
Seed_H2O_a	Seed	H2O	NA	NA	NA	5.79551439505064
Seed_H2O_b	Seed	H2O	NA	NA	NA	6.45329845475202
Seed_H2O_c	Seed	H2O	NA	NA	NA	6.61685918604773
Seed_Mock_a	Seed	Mock	NA	NA	NA	2.54058863676535
Soil_Mock_a	Soil	Mock	NA	NA	NA	2.51035327816581
Seed_P1S1_a	Seed	P1S1	oIlseed_rape	P1	MLG17	5.80295091513903
Seed_P1S1_b	Seed	P1S1	oIlseed_rape	P1	MLG17	5.95667782364519
Seed_P1S1_c	Seed	P1S1	oIlseed_rape	P1	MLG17	5.83798406817003
Seed_P1S2_a	Seed	P1S2	oIlseed_rape	P1	MLG17	5.16244979955224
Seed_P1S2_b	Seed	P1S2	oIlseed_rape	P1	MLG17	5.3070103470472
Seed_P1S2_c	Seed	P1S2	oIlseed_rape	P1	MLG17	5.37942953276219
Seed_P1S3_a	Seed	P1S3	oIlseed_rape	P1	MLG16	5.95740788456892
Seed_P1S3_b	Seed	P1S3	oIlseed_rape	P1	MLG16	5.87660664731574
Seed_P1S3_c	Seed	P1S3	oIlseed_rape	P1	MLG16	5.88962523322872
Seed_P1S4_a	Seed	P1S4	oIlseed_rape	P1	MLG17	5.42316641612997
Seed_P1S4_b	Seed	P1S4	oIlseed_rape	P1	MLG17	5.45798863933503
Seed_P1S4_c	Seed	P1S4	oIlseed_rape	P1	MLG17	5.73048377458428
Seed_P2S1_a	Seed	P2S1	oIlseed_rape	P2	MLG15	5.26087142110172
Seed_P2S1_b	Seed	P2S1	oIlseed_rape	P2	MLG15	5.28758691660009
