sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
Seed_P4S3_b	20004	13760	13760	11076	8734
Soil_P3S4_c	26064	17189	17189	12830	12347
Seed_P3S2_c	19377	13414	13414	11191	8777
Germ_P3S2_Colza_myro_a	20416	14101	14101	11542	9496
Germ_Control_c	17188	11702	11702	11429	10547
Germ_P3S2_GR24_c	19061	13320	13320	11232	8313
Soil_Control_a	22539	15034	15034	14394	13834
Seed_P7S1_a	23820	16720	16720	14323	10071
Soil_P3S5_a	27970	18050	18050	13236	12766
Seed_P2S4_a	24132	16816	16816	14067	10481
Soil_P7S4_b	21925	14814	14814	10206	10159
Seed_H2O_b	23610	16261	16261	15882	15753
Seed_P6S1_a	23165	16138	16138	14294	11227
Seed_P1S3_a	21370	14821	14821	13063	11253
Seed_P1S4_a	25154	17455	17455	15008	11992
Soil_P4S4_c	21856	14535	14535	9646	9555
Seed_PBS_a	21413	15147	15147	13662	10224
Soil_P2S3_b	25053	16661	16661	10985	10795
Soil_P3S3_a	24473	16492	16492	12799	12483
Seed_Pram_120_d_c	25548	18154	18154	16269	11467
Soil_P2S3_a	27429	18454	18454	13458	13412
Germ_P3S2_GR24_a	18929	13167	13167	11000	8510
Seed_P6S2_b	20532	14371	14371	12277	10029
Seed_P2S2_a	17876	12644	12644	10745	7722
Germ_P3S2_Colza_b	21686	15026	15026	12724	10663
Seed_P6S3_c	19380	13501	13501	11409	8614
Soil_P3S4_a	28789	19289	19289	14790	14351
Soil_P6S1_a	26625	17389	17389	12317	12040
Germ_P2S2_Colza_a	21184	14709	14709	12211	9743
Seed_P2S1_b	22864	16040	16040	13472	10401
Soil_P2S4_a	25957	17386	17386	11255	11055
Germ_Control_a	19725	12873	12873	12736	11913
Germ_P3S2_Chanvre_c	20933	14339	14339	12069	8863
Seed_P4S2_a	20927	14637	14637	12560	10300
Germ_P6S1_Tabac_a	23041	15808	15808	13653	11132
Seed_P3S3_b	23643	16465	16465	13619	10564
Soil_P3S5_c	27020	18029	18029	13359	12909
Seed_P3S1_c	18322	12645	12645	10807	8229
Seed_P3S2_a	16496	11480	11480	9794	7688
Germ_P2S2_GR24_a	18942	13029	13029	10798	8846
Germ_P3S2_Colza_a	21510	15062	15062	12957	10405
Seed_P4S1_c	19292	13446	13446	11826	8641
Germ_P2S2_Colza_b	21018	14685	14685	12755	10763
Soil_P7S4_c	21762	14585	14585	9092	8954
Germ_P4S1_Colza_c	18617	12793	12793	10514	9637
Seed_Pram_120_d_b	25846	18436	18436	16519	11830
Seed_P1S4_b	25133	17196	17196	14347	11734
Germ_P3S2_ACN_a	22946	16159	16159	13474	11117
Seed_P3S4_a	22237	15362	15362	13110	10505
Germ_P2S2_ACN_b	24181	16920	16920	14400	10984
Germ_P2S2_Colza_myro_c	21936	15217	15217	12819	10445
Soil_P7S2_b	24416	16453	16453	11595	11291
Germ_P2S2_Tabac_a	20521	14051	14051	11803	9769
Soil_P4S3_b	25049	16514	16514	11577	11499
Seed_P1S4_c	30475	20836	20836	17730	14002
Germ_P6S1_GR24_b	19410	13317	13317	11370	9216
Germ_P2S2_ACN_c	21100	14631	14631	12610	10270
Seed_P3S4_b	21139	14657	14657	12514	10110
Soil_P6S1_b	23498	15337	15337	11146	11018
Seed_P1S2_b	19422	13478	13478	11327	8881
Seed_P7S4_b	17737	12297	12297	10174	8369
Germ_P2S2_ACN_a	23486	16307	16307	13540	9826
Soil_P6S1_c	26933	17465	17465	13188	12991
Soil_P7S3_a	24601	15776	15776	10379	10159
Seed_P2S3_b	25231	17500	17500	14693	10348
Seed_P6S1_c	25809	17694	17694	14903	11463
Germ_P3S2_Tabac_b	21440	14755	14755	12150	10184
Germ_P4S1_ACN_c	22828	15755	15755	13163	11902
Seed_P4S1_a	19373	13448	13448	11568	8080
Germ_P2S2_Colza_myro_a	20554	14273	14273	12138	9729
