Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Germ-Control-a_S190.16S.R1	9.358681875792142	68.82129277566538
Germ-Control-a_S190.16S.R2	7.797211660329531	65.03422053231937
Germ-Control-b_S197.16S.R1	7.7864838393731635	70.61160082707585
Germ-Control-b_S197.16S.R2	9.326368484057026	61.55729676787462
Germ-Control-c_S204.16S.R1	20.7644868512916	59.32627414475213
Germ-Control-c_S204.16S.R2	14.74866185710961	59.73935303700256
Germ-Mock-a_S171.16S.R1	22.211503677800554	63.511395152538284
Germ-Mock-a_S171.16S.R2	24.731701434945133	56.6441577233812
Germ-P2S2-ACN-a_S165.16S.R1	14.182917482755682	63.51017627522782
Germ-P2S2-ACN-a_S165.16S.R2	17.921314825853703	51.18794175253342
Germ-P2S2-ACN-b_S166.16S.R1	13.349323849303172	62.735205326496015
Germ-P2S2-ACN-b_S166.16S.R2	16.574996898391298	52.38823869980562
Germ-P2S2-ACN-c_S167.16S.R1	21.175355450236964	54.34123222748816
Germ-P2S2-ACN-c_S167.16S.R2	23.715639810426538	44.90995260663513
Germ-P2S2-Chanvre-a_S217.16S.R1	12.375328735175904	61.08271721331821
Germ-P2S2-Chanvre-a_S217.16S.R2	14.67771547660398	48.55852726641196
Germ-P2S2-Chanvre-b_S218.16S.R1	16.147117104054903	57.12145377217141
Germ-P2S2-Chanvre-b_S218.16S.R2	17.70818230148374	45.25155864868784
Germ-P2S2-Chanvre-c_S219.16S.R1	20.91103486001293	53.70232234322941
Germ-P2S2-Chanvre-c_S219.16S.R2	22.293500422696304	43.766472723656044
Germ-P2S2-Colza-a_S191.16S.R1	14.879154078549849	60.26718277945615
Germ-P2S2-Colza-a_S191.16S.R2	17.81533232628399	48.42333836858005
Germ-P2S2-Colza-b_S192.16S.R1	19.706917879912456	54.42953658768673
Germ-P2S2-Colza-b_S192.16S.R2	21.05338281473023	44.580835474355354
Germ-P2S2-Colza-c_S193.16S.R1	15.37867476702878	59.187561138855955
Germ-P2S2-Colza-c_S193.16S.R2	17.85512021829789	47.773258507954445
Germ-P2S2-Colza-myro-a_S194.16S.R1	14.381628880023353	61.04407901138461
Germ-P2S2-Colza-myro-a_S194.16S.R2	15.135740001946093	52.47153838668875
Germ-P2S2-Colza-myro-b_S195.16S.R1	15.716555765219983	58.853908034561385
Germ-P2S2-Colza-myro-b_S195.16S.R2	13.4919058496375	50.39725891349687
Germ-P2S2-Colza-myro-c_S196.16S.R1	16.2791757840992	55.28811086797941
Germ-P2S2-Colza-myro-c_S196.16S.R2	9.094638949671772	54.75474106491616
Germ-P2S2-GR24-a_S168.16S.R1	16.043712385175798	57.65494667933689
Germ-P2S2-GR24-a_S168.16S.R2	19.142645971914266	47.03832752613235
Germ-P2S2-GR24-b_S169.16S.R1	11.83782649742998	59.031784328123344
Germ-P2S2-GR24-b_S169.16S.R2	13.862372810238119	47.734186510017835
Germ-P2S2-GR24-c_S170.16S.R1	25.96547612876471	50.28769892696076
Germ-P2S2-GR24-c_S170.16S.R2	28.013063086413354	42.63127883468974
