Sample	Unique Reads	Duplicate Reads
Germ-Control-a_S190.16S.R1	2549.0	17176.0
Germ-Control-a_S190.16S.R2	3618.0	16107.0
Germ-Control-b_S197.16S.R1	2382.0	15996.0
Germ-Control-b_S197.16S.R2	3411.0	14967.0
Germ-Control-c_S204.16S.R1	1973.0	15215.0
Germ-Control-c_S204.16S.R2	2857.0	14331.0
Germ-Mock-a_S171.16S.R1	1416.0	15170.0
Germ-Mock-a_S171.16S.R2	1964.0	14622.0
Germ-P2S2-ACN-a_S165.16S.R1	2966.0	20520.0
Germ-P2S2-ACN-a_S165.16S.R2	4342.0	19144.0
Germ-P2S2-ACN-b_S166.16S.R1	3165.0	21016.0
Germ-P2S2-ACN-b_S166.16S.R2	4416.0	19765.0
Germ-P2S2-ACN-c_S167.16S.R1	2821.0	18279.0
Germ-P2S2-ACN-c_S167.16S.R2	4016.0	17084.0
Germ-P2S2-Chanvre-a_S217.16S.R1	3075.0	17078.0
Germ-P2S2-Chanvre-a_S217.16S.R2	4583.0	15570.0
Germ-P2S2-Chanvre-b_S218.16S.R1	3113.0	17578.0
Germ-P2S2-Chanvre-b_S218.16S.R2	4573.0	16118.0
Germ-P2S2-Chanvre-c_S219.16S.R1	2803.0	17306.0
Germ-P2S2-Chanvre-c_S219.16S.R2	4086.0	16023.0
Germ-P2S2-Colza-a_S191.16S.R1	2970.0	18214.0
Germ-P2S2-Colza-a_S191.16S.R2	4237.0	16947.0
Germ-P2S2-Colza-b_S192.16S.R1	2949.0	18069.0
Germ-P2S2-Colza-b_S192.16S.R2	4398.0	16620.0
Germ-P2S2-Colza-c_S193.16S.R1	2841.0	16582.0
Germ-P2S2-Colza-c_S193.16S.R2	4113.0	15310.0
Germ-P2S2-Colza-myro-a_S194.16S.R1	2866.0	17688.0
Germ-P2S2-Colza-myro-a_S194.16S.R2	4093.0	16461.0
Germ-P2S2-Colza-myro-b_S195.16S.R1	2989.0	17149.0
Germ-P2S2-Colza-myro-b_S195.16S.R2	4519.0	15619.0
Germ-P2S2-Colza-myro-c_S196.16S.R1	3393.0	18543.0
Germ-P2S2-Colza-myro-c_S196.16S.R2	4877.0	17059.0
Germ-P2S2-GR24-a_S168.16S.R1	2864.0	16078.0
Germ-P2S2-GR24-a_S168.16S.R2	4109.0	14833.0
Germ-P2S2-GR24-b_S169.16S.R1	3172.0	15894.0
Germ-P2S2-GR24-b_S169.16S.R2	4591.0	14475.0
Germ-P2S2-GR24-c_S170.16S.R1	2536.0	16755.0
Germ-P2S2-GR24-c_S170.16S.R2	3478.0	15813.0
Germ-P2S2-Tabac-a_S220.16S.R1	3163.0	17358.0
Germ-P2S2-Tabac-a_S220.16S.R2	4562.0	15959.0
Germ-P2S2-Tabac-b_S221.16S.R1	2526.0	15053.0
Germ-P2S2-Tabac-b_S221.16S.R2	3888.0	13691.0
Germ-P2S2-Tabac-c_S222.16S.R1	2966.0	17051.0
Germ-P2S2-Tabac-c_S222.16S.R2	4378.0	15639.0
Germ-P3S2-ACN-a_S172.16S.R1	2853.0	20093.0
Germ-P3S2-ACN-a_S172.16S.R2	4243.0	18703.0
Germ-P3S2-ACN-b_S173.16S.R1	2691.0	17717.0
Germ-P3S2-ACN-b_S173.16S.R2	3974.0	16434.0
Germ-P3S2-ACN-c_S174.16S.R1	2225.0	16383.0
Germ-P3S2-ACN-c_S174.16S.R2	3237.0	15371.0
Germ-P3S2-Chanvre-a_S223.16S.R1	2708.0	22764.0
Germ-P3S2-Chanvre-a_S223.16S.R2	3673.0	21799.0
Germ-P3S2-Chanvre-b_S224.16S.R1	2902.0	19340.0
Germ-P3S2-Chanvre-b_S224.16S.R2	3712.0	18530.0
Germ-P3S2-Chanvre-c_S225.16S.R1	2454.0	18479.0
Germ-P3S2-Chanvre-c_S225.16S.R2	3392.0	17541.0
Germ-P3S2-Colza-a_S198.16S.R1	2836.0	18674.0
Germ-P3S2-Colza-a_S198.16S.R2	4145.0	17365.0
Germ-P3S2-Colza-b_S199.16S.R1	3019.0	18667.0
Germ-P3S2-Colza-b_S199.16S.R2	4270.0	17416.0
Germ-P3S2-Colza-c_S200.16S.R1	2920.0	17811.0
Germ-P3S2-Colza-c_S200.16S.R2	4477.0	16254.0
Germ-P3S2-Colza-myro-a_S201.16S.R1	2696.0	17720.0
Germ-P3S2-Colza-myro-a_S201.16S.R2	4031.0	16385.0
Germ-P3S2-Colza-myro-b_S202.16S.R1	2623.0	16815.0
Germ-P3S2-Colza-myro-b_S202.16S.R2	4253.0	15185.0
Germ-P3S2-Colza-myro-c_S203.16S.R1	2736.0	16645.0
Germ-P3S2-Colza-myro-c_S203.16S.R2	3912.0	15469.0
Germ-P3S2-GR24-a_S175.16S.R1	2392.0	16537.0
Germ-P3S2-GR24-a_S175.16S.R2	3440.0	15489.0
Germ-P3S2-GR24-b_S176.16S.R1	2507.0	15621.0
Germ-P3S2-GR24-b_S176.16S.R2	3814.0	14314.0
Germ-P3S2-GR24-c_S177.16S.R1	2406.0	16655.0
Germ-P3S2-GR24-c_S177.16S.R2	3211.0	15850.0
Germ-P3S2-Tabac-a_S226.16S.R1	3156.0	16912.0
Germ-P3S2-Tabac-a_S226.16S.R2	4362.0	15706.0
Germ-P3S2-Tabac-b_S227.16S.R1	2886.0	18554.0
Germ-P3S2-Tabac-b_S227.16S.R2	4587.0	16853.0
Germ-P3S2-Tabac-c_S228.16S.R1	2993.0	18216.0
Germ-P3S2-Tabac-c_S228.16S.R2	4395.0	16814.0
Germ-P4S1-ACN-a_S178.16S.R1	3376.0	20612.0
Germ-P4S1-ACN-a_S178.16S.R2	4994.0	18994.0
Germ-P4S1-ACN-b_S179.16S.R1	3405.0	20905.0
Germ-P4S1-ACN-b_S179.16S.R2	5060.0	19250.0
Germ-P4S1-ACN-c_S180.16S.R1	3381.0	19447.0
Germ-P4S1-ACN-c_S180.16S.R2	5057.0	17771.0
Germ-P4S1-Chanvre-a_S229.16S.R1	3304.0	22251.0
Germ-P4S1-Chanvre-a_S229.16S.R2	4881.0	20674.0
Germ-P4S1-Chanvre-b_S230.16S.R1	2914.0	18528.0
Germ-P4S1-Chanvre-b_S230.16S.R2	4367.0	17075.0
Germ-P4S1-Chanvre-c_S231.16S.R1	2767.0	19494.0
Germ-P4S1-Chanvre-c_S231.16S.R2	4045.0	18216.0
Germ-P4S1-Colza-a_S205.16S.R1	2970.0	18011.0
Germ-P4S1-Colza-a_S205.16S.R2	4532.0	16449.0
Germ-P4S1-Colza-b_S206.16S.R1	2355.0	18249.0
Germ-P4S1-Colza-b_S206.16S.R2	3412.0	17192.0
Germ-P4S1-Colza-c_S207.16S.R1	2939.0	15678.0
Germ-P4S1-Colza-c_S207.16S.R2	4311.0	14306.0
Germ-P4S1-Colza-myro-a_S208.16S.R1	2789.0	16664.0
Germ-P4S1-Colza-myro-a_S208.16S.R2	4028.0	15425.0
Germ-P4S1-Colza-myro-b_S209.16S.R1	2621.0	16457.0
Germ-P4S1-Colza-myro-b_S209.16S.R2	3917.0	15161.0
Germ-P4S1-Colza-myro-c_S210.16S.R1	2781.0	17806.0
Germ-P4S1-Colza-myro-c_S210.16S.R2	3970.0	16617.0
Germ-P4S1-GR24-a_S181.16S.R1	3340.0	19383.0
Germ-P4S1-GR24-a_S181.16S.R2	5037.0	17686.0
Germ-P4S1-GR24-b_S182.16S.R1	3244.0	20209.0
Germ-P4S1-GR24-b_S182.16S.R2	5091.0	18362.0
Germ-P4S1-GR24-c_S183.16S.R1	2828.0	20346.0
Germ-P4S1-GR24-c_S183.16S.R2	3944.0	19230.0
Germ-P4S1-Tabac-a_S232.16S.R1	2981.0	19270.0
Germ-P4S1-Tabac-a_S232.16S.R2	4433.0	17818.0
Germ-P4S1-Tabac-b_S233.16S.R1	2809.0	17017.0
Germ-P4S1-Tabac-b_S233.16S.R2	4391.0	15435.0
Germ-P4S1-Tabac-c_S234.16S.R1	3258.0	20118.0
Germ-P4S1-Tabac-c_S234.16S.R2	4885.0	18491.0
Germ-P6S1-ACN-a_S184.16S.R1	2504.0	19615.0
Germ-P6S1-ACN-a_S184.16S.R2	3451.0	18668.0
Germ-P6S1-ACN-b_S185.16S.R1	2335.0	19324.0
Germ-P6S1-ACN-b_S185.16S.R2	3123.0	18536.0
Germ-P6S1-ACN-c_S186.16S.R1	2108.0	16396.0
Germ-P6S1-ACN-c_S186.16S.R2	2921.0	15583.0
Germ-P6S1-Chanvre-a_S235.16S.R1	2877.0	18527.0
Germ-P6S1-Chanvre-a_S235.16S.R2	4233.0	17171.0
Germ-P6S1-Chanvre-b_S236.16S.R1	2489.0	19648.0
Germ-P6S1-Chanvre-b_S236.16S.R2	3673.0	18464.0
Germ-P6S1-Chanvre-c_S237.16S.R1	2475.0	20589.0
Germ-P6S1-Chanvre-c_S237.16S.R2	3613.0	19451.0
Germ-P6S1-Colza-a_S211.16S.R1	3251.0	22894.0
