Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Germ-Control-a_S190.16S.R1	Germ-Control-a_S190.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19725.0	0.0	231-232	54.0	12.922686945500633	231.99994930291507	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-a_S190.16S.R2	Germ-Control-a_S190.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19725.0	0.0	196-232	54.0	18.337135614702156	230.99832699619773	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-b_S197.16S.R1	Germ-Control-b_S197.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18378.0	0.0	231-232	53.0	12.961149200130592	231.99994558711504	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-b_S197.16S.R2	Germ-Control-b_S197.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18378.0	0.0	230-232	53.0	18.560235063663075	231.00010882576996	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-c_S204.16S.R1	Germ-Control-c_S204.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17188.0	0.0	232.0	53.0	11.478938794507796	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-Control-c_S204.16S.R2	Germ-Control-c_S204.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17188.0	0.0	231-232	54.0	16.616243891086803	231.00023272050268	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Mock-a_S171.16S.R1	Germ-Mock-a_S171.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16586.0	0.0	231-232	55.0	8.531291450621007	231.99993970818764	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Mock-a_S171.16S.R2	Germ-Mock-a_S171.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16586.0	0.0	231-232	55.0	11.841311949837213	231.0002411672495	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-ACN-a_S165.16S.R1	Germ-P2S2-ACN-a_S165.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23486.0	0.0	232.0	52.0	12.624542280507537	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P2S2-ACN-a_S165.16S.R2	Germ-P2S2-ACN-a_S165.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23486.0	0.0	230-232	53.0	18.487609639785404	231.00012773567232	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
