Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Germ-Control-a_S190.16S.R1	87.07731305449937	54.0	231.99994930291507	45.45454545454545	19725.0
Germ-Control-a_S190.16S.R2	81.66286438529784	54.0	230.99832699619773	45.45454545454545	19725.0
Germ-Control-b_S197.16S.R1	87.03885079986941	53.0	231.99994558711504	45.45454545454545	18378.0
Germ-Control-b_S197.16S.R2	81.43976493633693	53.0	231.00010882576996	45.45454545454545	18378.0
Germ-Control-c_S204.16S.R1	88.5210612054922	53.0	232.0	45.45454545454545	17188.0
Germ-Control-c_S204.16S.R2	83.38375610891319	54.0	231.00023272050268	45.45454545454545	17188.0
Germ-Mock-a_S171.16S.R1	91.46870854937899	55.0	231.99993970818764	45.45454545454545	16586.0
Germ-Mock-a_S171.16S.R2	88.1586880501628	55.0	231.0002411672495	36.36363636363637	16586.0
Germ-P2S2-ACN-a_S165.16S.R1	87.37545771949246	52.0	232.0	45.45454545454545	23486.0
Germ-P2S2-ACN-a_S165.16S.R2	81.5123903602146	53.0	231.00012773567232	45.45454545454545	23486.0
Germ-P2S2-ACN-b_S166.16S.R1	86.91121128158471	52.0	231.99991729043464	45.45454545454545	24181.0
Germ-P2S2-ACN-b_S166.16S.R2	81.73772796823953	53.0	231.00028948347875	45.45454545454545	24181.0
Germ-P2S2-ACN-c_S167.16S.R1	86.6303317535545	52.0	231.99995260663508	45.45454545454545	21100.0
Germ-P2S2-ACN-c_S167.16S.R2	80.96682464454976	53.0	231.0003317535545	45.45454545454545	21100.0
Germ-P2S2-Chanvre-a_S217.16S.R1	84.746687838039	52.0	231.9999503795961	36.36363636363637	20153.0
Germ-P2S2-Chanvre-a_S217.16S.R2	77.26393092839776	52.0	231.00019848161563	45.45454545454545	20153.0
Germ-P2S2-Chanvre-b_S218.16S.R1	84.95481127060074	52.0	232.0	45.45454545454545	20691.0
Germ-P2S2-Chanvre-b_S218.16S.R2	77.89860325745494	53.0	231.0002899811512	36.36363636363637	20691.0
Germ-P2S2-Chanvre-c_S219.16S.R1	86.06096772589387	52.0	232.0	45.45454545454545	20109.0
Germ-P2S2-Chanvre-c_S219.16S.R2	79.68073996717888	53.0	231.00044756079367	45.45454545454545	20109.0
Germ-P2S2-Colza-a_S191.16S.R1	85.97998489425981	52.0	231.99995279456192	45.45454545454545	21184.0
Germ-P2S2-Colza-a_S191.16S.R2	79.99905589123867	53.0	230.99995279456192	45.45454545454545	21184.0
Germ-P2S2-Colza-b_S192.16S.R1	85.96916928347132	52.0	231.99985726520126	45.45454545454545	21018.0
Germ-P2S2-Colza-b_S192.16S.R2	79.07507850413931	52.0	231.000190313065	36.36363636363637	21018.0
Germ-P2S2-Colza-c_S193.16S.R1	85.37301137826289	52.0	231.99989702929517	36.36363636363637	19423.0
Germ-P2S2-Colza-c_S193.16S.R2	78.8240745507903	52.0	231.00005148535243	36.36363636363637	19423.0
Germ-P2S2-Colza-myro-a_S194.16S.R1	86.06110732704096	52.0	231.99985404300867	45.45454545454545	20554.0
Germ-P2S2-Colza-myro-a_S194.16S.R2	80.09146638123966	53.0	231.0000973046609	45.45454545454545	20554.0
Germ-P2S2-Colza-myro-b_S195.16S.R1	85.15741384447314	52.0	231.99985102790743	36.36363636363637	20138.0
Germ-P2S2-Colza-myro-b_S195.16S.R2	77.55983712384547	53.0	230.9999503426358	36.36363636363637	20138.0
Germ-P2S2-Colza-myro-c_S196.16S.R1	84.53227571115974	52.0	231.99995441283735	45.45454545454545	21936.0
Germ-P2S2-Colza-myro-c_S196.16S.R2	77.76714077315827	53.0	231.0004102844639	45.45454545454545	21936.0
Germ-P2S2-GR24-a_S168.16S.R1	84.88016048991659	52.0	231.99994720726428	45.45454545454545	18942.0
Germ-P2S2-GR24-a_S168.16S.R2	78.3127441664027	53.0	231.00005279273572	45.45454545454545	18942.0
Germ-P2S2-GR24-b_S169.16S.R1	83.36305465226057	52.0	232.0	45.45454545454545	19066.0
Germ-P2S2-GR24-b_S169.16S.R2	75.92048673030526	53.0	231.0002622469317	45.45454545454545	19066.0
Germ-P2S2-GR24-c_S170.16S.R1	86.85397335545073	52.0	231.9999481623555	45.45454545454545	19291.0
Germ-P2S2-GR24-c_S170.16S.R2	81.97086724379244	53.0	231.00031102586698	45.45454545454545	19291.0
Germ-P2S2-Tabac-a_S220.16S.R1	84.58652112470152	52.0	232.0	45.45454545454545	20521.0
Germ-P2S2-Tabac-a_S220.16S.R2	77.76911456556698	53.0	230.99990253886264	45.45454545454545	20521.0
Germ-P2S2-Tabac-b_S221.16S.R1	85.63058194436543	52.0	231.99994311394278	45.45454545454545	17579.0
Germ-P2S2-Tabac-b_S221.16S.R2	77.88270094999716	53.0	231.00034131634337	36.36363636363637	17579.0
Germ-P2S2-Tabac-c_S222.16S.R1	85.18259479442474	52.0	232.0	45.45454545454545	20017.0
Germ-P2S2-Tabac-c_S222.16S.R2	78.12859069790679	53.0	231.00034970275266	45.45454545454545	20017.0
Germ-P3S2-ACN-a_S172.16S.R1	87.56646038525233	52.0	231.99899764664866	36.36363636363637	22946.0
Germ-P3S2-ACN-a_S172.16S.R2	81.50875969667916	53.0	231.00043580580493	36.36363636363637	22946.0
Germ-P3S2-ACN-b_S173.16S.R1	86.8139945119561	52.0	232.0	36.36363636363637	20408.0
Germ-P3S2-ACN-b_S173.16S.R2	80.52724421795375	53.0	231.000147001176	36.36363636363637	20408.0
Germ-P3S2-ACN-c_S174.16S.R1	88.04277730008599	52.0	231.99978503869303	45.45454545454545	18608.0
Germ-P3S2-ACN-c_S174.16S.R2	82.60963026655202	53.0	230.99994625967327	36.36363636363637	18608.0
Germ-P3S2-Chanvre-a_S223.16S.R1	89.36871859296483	53.0	232.0	45.45454545454545	25472.0
Germ-P3S2-Chanvre-a_S223.16S.R2	85.58024497487438	54.0	231.00003925879398	45.45454545454545	25472.0
Germ-P3S2-Chanvre-b_S224.16S.R1	86.9526121751641	52.0	231.99991008002877	45.45454545454545	22242.0
Germ-P3S2-Chanvre-b_S224.16S.R2	83.31085334052693	53.0	231.00013487995685	45.45454545454545	22242.0
Germ-P3S2-Chanvre-c_S225.16S.R1	88.2768833898629	53.0	232.0	45.45454545454545	20933.0
Germ-P3S2-Chanvre-c_S225.16S.R2	83.7959203172025	53.0	231.00047771461328	45.45454545454545	20933.0
Germ-P3S2-Colza-a_S198.16S.R1	86.81543468154346	52.0	232.0	45.45454545454545	21510.0
Germ-P3S2-Colza-a_S198.16S.R2	80.72989307298931	52.0	231.0004649000465	45.45454545454545	21510.0
Germ-P3S2-Colza-b_S199.16S.R1	86.07857603984138	52.0	231.99995388730056	36.36363636363637	21686.0
Germ-P3S2-Colza-b_S199.16S.R2	80.3098773402195	52.0	231.00027667619662	36.36363636363637	21686.0
Germ-P3S2-Colza-c_S200.16S.R1	85.91481356422749	52.0	231.99995176306015	36.36363636363637	20731.0
Germ-P3S2-Colza-c_S200.16S.R2	78.40432202981043	52.0	231.00024118469923	36.36363636363637	20731.0
Germ-P3S2-Colza-myro-a_S201.16S.R1	86.79467084639498	52.0	231.99975509404388	36.36363636363637	20416.0
Germ-P3S2-Colza-myro-a_S201.16S.R2	80.25568181818181	53.0	231.00014694357367	36.36363636363637	20416.0
Germ-P3S2-Colza-myro-b_S202.16S.R1	86.50581335528346	52.0	232.0	45.45454545454545	19438.0
Germ-P3S2-Colza-myro-b_S202.16S.R2	78.1201769729396	53.0	231.0	36.36363636363637	19438.0
Germ-P3S2-Colza-myro-c_S203.16S.R1	85.88308136835045	52.0	231.99989680615036	36.36363636363637	19381.0
Germ-P3S2-Colza-myro-c_S203.16S.R2	79.81528300913266	53.0	231.00005159692483	36.36363636363637	19381.0
Germ-P3S2-GR24-a_S175.16S.R1	87.363304981774	52.0	232.0	36.36363636363637	18929.0
Germ-P3S2-GR24-a_S175.16S.R2	81.82682656241745	52.0	231.0	36.36363636363637	18929.0
Germ-P3S2-GR24-b_S176.16S.R1	86.17056487202119	52.0	231.99994483671668	36.36363636363637	18128.0
Germ-P3S2-GR24-b_S176.16S.R2	78.96072374227714	53.0	230.99983451015004	36.36363636363637	18128.0
Germ-P3S2-GR24-c_S177.16S.R1	87.37736739940192	53.0	232.0	36.36363636363637	19061.0
Germ-P3S2-GR24-c_S177.16S.R2	83.15408425581029	53.0	231.0002623157232	36.36363636363637	19061.0
Germ-P3S2-Tabac-a_S226.16S.R1	84.27347020131553	52.0	231.99995016942395	45.45454545454545	20068.0
Germ-P3S2-Tabac-a_S226.16S.R2	78.26390273071557	53.0	231.0000996611521	45.45454545454545	20068.0
Germ-P3S2-Tabac-b_S227.16S.R1	86.53917910447761	52.0	232.0	36.36363636363637	21440.0
Germ-P3S2-Tabac-b_S227.16S.R2	78.60541044776119	53.0	231.00013992537313	36.36363636363637	21440.0
Germ-P3S2-Tabac-c_S228.16S.R1	85.88806638691122	52.0	231.9999528502051	36.36363636363637	21209.0
Germ-P3S2-Tabac-c_S228.16S.R2	79.27766514215664	53.0	231.0000942995898	36.36363636363637	21209.0
Germ-P4S1-ACN-a_S178.16S.R1	85.92629648157413	52.0	231.99987493746875	45.45454545454545	23988.0
Germ-P4S1-ACN-a_S178.16S.R2	79.18125729531432	53.0	230.9986659996665	45.45454545454545	23988.0
Germ-P4S1-ACN-b_S179.16S.R1	85.99341834635952	52.0	231.99995886466473	45.45454545454545	24310.0
Germ-P4S1-ACN-b_S179.16S.R2	79.18552036199095	53.0	231.00028794734678	45.45454545454545	24310.0
Germ-P4S1-ACN-c_S180.16S.R1	85.18924128263536	52.0	231.99986858244262	45.45454545454545	22828.0
Germ-P4S1-ACN-c_S180.16S.R2	77.84738041002278	53.0	231.0	45.45454545454545	22828.0
Germ-P4S1-Chanvre-a_S229.16S.R1	87.07102328311485	54.0	231.99996086871454	45.45454545454545	25555.0
Germ-P4S1-Chanvre-a_S229.16S.R2	80.903932694189	54.0	231.00003913128546	45.45454545454545	25555.0
Germ-P4S1-Chanvre-b_S230.16S.R1	86.40984982744148	53.0	231.99981345023784	36.36363636363637	21442.0
Germ-P4S1-Chanvre-b_S230.16S.R2	79.63342971737711	54.0	231.00004663744053	36.36363636363637	21442.0
Germ-P4S1-Chanvre-c_S231.16S.R1	87.57019001841786	54.0	231.9999550783882	45.45454545454545	22261.0
Germ-P4S1-Chanvre-c_S231.16S.R2	81.8292080319842	54.0	231.00017968644715	45.45454545454545	22261.0
Germ-P4S1-Colza-a_S205.16S.R1	85.84433535103189	53.0	231.99995233782946	36.36363636363637	20981.0
Germ-P4S1-Colza-a_S205.16S.R2	78.39950431342643	53.0	230.9998570134884	36.36363636363637	20981.0
Germ-P4S1-Colza-b_S206.16S.R1	88.5701805474665	54.0	231.9999514657348	45.45454545454545	20604.0
Germ-P4S1-Colza-b_S206.16S.R2	83.44010871675403	54.0	231.0	45.45454545454545	20604.0
Germ-P4S1-Colza-c_S207.16S.R1	84.21335338668959	52.0	232.0	45.45454545454545	18617.0
Germ-P4S1-Colza-c_S207.16S.R2	76.84374496427996	52.0	231.00037600042972	45.45454545454545	18617.0
Germ-P4S1-Colza-myro-a_S208.16S.R1	85.66287976147638	53.0	231.99984578214156	36.36363636363637	19453.0
Germ-P4S1-Colza-myro-a_S208.16S.R2	79.29368220839973	54.0	230.99979437618876	36.36363636363637	19453.0
Germ-P4S1-Colza-myro-b_S209.16S.R1	86.26166264807631	53.0	232.0	45.45454545454545	19078.0
Germ-P4S1-Colza-myro-b_S209.16S.R2	79.47373938567983	53.0	231.00026208197923	45.45454545454545	19078.0
Germ-P4S1-Colza-myro-c_S210.16S.R1	86.49147520279789	53.0	232.0	45.45454545454545	20587.0
Germ-P4S1-Colza-myro-c_S210.16S.R2	80.71598581629183	54.0	231.00019429737213	36.36363636363637	20587.0
Germ-P4S1-GR24-a_S181.16S.R1	85.3012366324869	53.0	231.99995599172644	36.36363636363637	22723.0
Germ-P4S1-GR24-a_S181.16S.R2	77.8330326101307	54.0	231.00044008273557	36.36363636363637	22723.0
Germ-P4S1-GR24-b_S182.16S.R1	86.16808084253614	53.0	231.99987208459473	45.45454545454545	23453.0
Germ-P4S1-GR24-b_S182.16S.R2	78.29275572421439	53.0	231.00008527693686	45.45454545454545	23453.0
Germ-P4S1-GR24-c_S183.16S.R1	87.79666868041771	54.0	231.99995684819194	45.45454545454545	23174.0
Germ-P4S1-GR24-c_S183.16S.R2	82.98092690083715	54.0	231.00012945542417	36.36363636363637	23174.0
Germ-P4S1-Tabac-a_S232.16S.R1	86.60284931014337	53.0	232.0	45.45454545454545	22251.0
Germ-P4S1-Tabac-a_S232.16S.R2	80.07729989663386	53.0	231.00013482540112	36.36363636363637	22251.0
Germ-P4S1-Tabac-b_S233.16S.R1	85.83173610410572	53.0	231.9999495611823	45.45454545454545	19826.0
Germ-P4S1-Tabac-b_S233.16S.R2	77.85231514173307	53.0	231.00020175527087	36.36363636363637	19826.0
Germ-P4S1-Tabac-c_S234.16S.R1	86.06690622861053	53.0	232.0	36.36363636363637	23376.0
Germ-P4S1-Tabac-c_S234.16S.R2	79.10249828884326	53.0	231.0001711156742	36.36363636363637	23376.0
Germ-P6S1-ACN-a_S184.16S.R1	88.67941588679416	53.0	231.9999095799991	36.36363636363637	22119.0
Germ-P6S1-ACN-a_S184.16S.R2	84.39802884398028	54.0	231.00022605000225	36.36363636363637	22119.0
Germ-P6S1-ACN-b_S185.16S.R1	89.21926220047094	52.0	231.9999076596334	45.45454545454545	21659.0
Germ-P6S1-ACN-b_S185.16S.R2	85.58105175677548	53.0	230.9999076596334	45.45454545454545	21659.0
Germ-P6S1-ACN-c_S186.16S.R1	88.60786856895807	52.0	231.99994595763079	45.45454545454545	18504.0
Germ-P6S1-ACN-c_S186.16S.R2	84.21422395157803	53.0	231.00010808473843	45.45454545454545	18504.0
Germ-P6S1-Chanvre-a_S235.16S.R1	86.55858717996637	52.0	231.99985983928238	45.45454545454545	21404.0
Germ-P6S1-Chanvre-a_S235.16S.R2	80.2279947673332	53.0	231.00042048215286	45.45454545454545	21404.0
Germ-P6S1-Chanvre-b_S236.16S.R1	88.75638072006143	53.0	231.99995482676061	45.45454545454545	22137.0
Germ-P6S1-Chanvre-b_S236.16S.R2	83.40786917829878	54.0	230.99995482676061	45.45454545454545	22137.0
Germ-P6S1-Chanvre-c_S237.16S.R1	89.26899063475547	53.0	231.99813562261534	45.45454545454545	23064.0
Germ-P6S1-Chanvre-c_S237.16S.R2	84.33489420742282	54.0	231.00021678806797	45.45454545454545	23064.0
Germ-P6S1-Colza-a_S211.16S.R1	87.56550009562058	52.0	231.99996175176898	45.45454545454545	26145.0
Germ-P6S1-Colza-a_S211.16S.R2	82.12660164467394	53.0	231.00007649646204	45.45454545454545	26145.0
Germ-P6S1-Colza-b_S212.16S.R1	86.51572327044025	52.0	232.0	36.36363636363637	23850.0
Germ-P6S1-Colza-b_S212.16S.R2	80.61215932914047	52.0	231.00012578616352	36.36363636363637	23850.0
Germ-P6S1-Colza-c_S213.16S.R1	87.52217622708457	52.0	231.99990902060682	45.45454545454545	21983.0
Germ-P6S1-Colza-c_S213.16S.R2	81.70859300368467	53.0	231.00013646908974	36.36363636363637	21983.0
Germ-P6S1-Colza-myro-a_S214.16S.R1	86.61111686160852	52.0	231.9998447365697	36.36363636363637	19322.0
Germ-P6S1-Colza-myro-a_S214.16S.R2	79.57768346962013	53.0	231.00010350895352	36.36363636363637	19322.0
Germ-P6S1-Colza-myro-b_S215.16S.R1	86.48108493932905	52.0	231.9999524149417	45.45454545454545	21015.0
Germ-P6S1-Colza-myro-b_S215.16S.R2	79.72400666190816	53.0	231.00033309540805	45.45454545454545	21015.0
Germ-P6S1-Colza-myro-c_S216.16S.R1	85.78486413653717	52.0	231.99991017291714	45.45454545454545	22265.0
Germ-P6S1-Colza-myro-c_S216.16S.R2	79.50595104423984	53.0	231.00004491354144	36.36363636363637	22265.0
Germ-P6S1-GR24-a_S187.16S.R1	86.443705651764	53.0	231.9999503795961	45.45454545454545	20153.0
Germ-P6S1-GR24-a_S187.16S.R2	80.62819431350171	53.0	231.0004962040391	45.45454545454545	20153.0
Germ-P6S1-GR24-b_S188.16S.R1	86.10510046367851	53.0	231.9998454404946	45.45454545454545	19410.0
Germ-P6S1-GR24-b_S188.16S.R2	79.66512107161257	53.0	231.0001545595054	45.45454545454545	19410.0
Germ-P6S1-GR24-c_S189.16S.R1	88.46414602346806	53.0	232.0	45.45454545454545	19175.0
Germ-P6S1-GR24-c_S189.16S.R2	84.34941329856584	54.0	231.0001564537158	45.45454545454545	19175.0
Germ-P6S1-Tabac-a_S238.16S.R1	86.64120480881905	52.0	232.0	45.45454545454545	23041.0
Germ-P6S1-Tabac-a_S238.16S.R2	80.53035892539387	52.0	231.0	36.36363636363637	23041.0
Germ-P6S1-Tabac-b_S239.16S.R1	84.37630720321258	51.0	231.99991633899438	45.45454545454545	23906.0
Germ-P6S1-Tabac-b_S239.16S.R2	76.0394879946457	52.0	231.0001254915084	45.45454545454545	23906.0
Germ-P6S1-Tabac-c_S240.16S.R1	86.80781758957654	51.0	231.99991196408135	45.45454545454545	22718.0
Germ-P6S1-Tabac-c_S240.16S.R2	80.42961528303547	52.0	231.00008803591865	45.45454545454545	22718.0
Seed-Control-a_S80.16S.R1	87.92292414369838	52.0	232.0	45.45454545454545	28699.0
Seed-Control-a_S80.16S.R2	83.68584271228963	52.0	231.000209066518	45.45454545454545	28699.0
Seed-H2O-a_S8.16S.R1	87.65530223802551	52.0	231.99995816774734	45.45454545454545	23905.0
Seed-H2O-a_S8.16S.R2	78.97510980966325	53.0	231.000125496758	45.45454545454545	23905.0
Seed-H2O-b_S16.16S.R1	85.29860228716646	53.0	232.0	45.45454545454545	23610.0
Seed-H2O-b_S16.16S.R2	80.55484963998306	53.0	231.00012706480305	36.36363636363637	23610.0
Seed-H2O-c_S24.16S.R1	85.15782660015992	53.0	231.99996192361877	45.45454545454545	26263.0
Seed-H2O-c_S24.16S.R2	79.65959715188669	53.0	231.0001523055249	45.45454545454545	26263.0
Seed-Mock-a_S79.16S.R1	91.57714285714286	54.0	231.99994285714286	45.45454545454545	17500.0
Seed-Mock-a_S79.16S.R2	88.41142857142857	55.0	231.00028571428572	36.36363636363637	17500.0
Seed-P1S1-a_S1.16S.R1	86.81064978588716	52.0	231.99929249674176	36.36363636363637	26855.0
Seed-P1S1-a_S1.16S.R2	76.83485384472165	52.0	230.9999627629864	45.45454545454545	26855.0
Seed-P1S1-b_S9.16S.R1	85.85097242833712	52.0	231.99996094665312	36.36363636363637	25606.0
Seed-P1S1-b_S9.16S.R2	79.53995157384988	52.0	231.00003905334688	45.45454545454545	25606.0
Seed-P1S1-c_S17.16S.R1	85.31369780108938	52.0	231.99995965301594	36.36363636363637	24785.0
Seed-P1S1-c_S17.16S.R2	79.09622755699012	53.0	231.0002420819044	45.45454545454545	24785.0
Seed-P1S2-a_S25.16S.R1	86.60902186842347	52.0	231.99986275048036	36.36363636363637	21858.0
Seed-P1S2-a_S25.16S.R2	81.24714063500778	53.0	231.0004117485589	45.45454545454545	21858.0
Seed-P1S2-b_S33.16S.R1	85.51642467305118	52.0	231.9998970239934	36.36363636363637	19422.0
Seed-P1S2-b_S33.16S.R2	80.01750592112037	53.0	231.00020595201318	45.45454545454545	19422.0
Seed-P1S2-c_S41.16S.R1	85.31910484873602	52.0	232.0	36.36363636363637	19304.0
