index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,D_0__Eukaryota;__,Unassigned;__,Category,sample,host,plot,MLG
Germ_P2S2_Tabac_b,0.0,0.0,0.0,0.0,13.0,10.0,0.0,1201.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6801.0,0.0,0.0,57.0,0.0,0.0,8.0,0.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P6S1_a,0.0,0.0,14.0,2163.0,546.0,157.0,0.0,845.0,0.0,208.0,43.0,0.0,0.0,23.0,0.0,13.0,61.0,142.0,919.0,0.0,0.0,108.0,64.0,0.0,0.0,259.0,5652.0,141.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,Soil,P6S1,hemp,P6,MLG12
Soil_P3S3_c,0.0,0.0,20.0,3302.0,373.0,33.0,7.0,1265.0,0.0,169.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,25.0,60.0,0.0,0.0,122.0,6038.0,52.0,0.0,408.0,0.0,0.0,0.0,0.0,13.0,Soil,P3S3,tobacco,P3,MLG7
Soil_P2S1_b,56.0,0.0,88.0,3054.0,173.0,0.0,5.0,1207.0,6.0,102.0,59.0,0.0,9.0,18.0,0.0,0.0,9.0,37.0,387.0,0.0,0.0,14.0,53.0,0.0,0.0,354.0,4439.0,41.0,0.0,604.0,0.0,0.0,0.0,0.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Germ_P4S1_Colza_myro_c,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1729.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8098.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P4S2_b,0.0,0.0,0.0,0.0,428.0,0.0,0.0,3298.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S2,tobacco,P4,MLG2
Soil_P3S1_b,0.0,0.0,22.0,4261.0,399.0,0.0,0.0,1330.0,0.0,91.0,51.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1437.0,0.0,0.0,17.0,104.0,0.0,0.0,79.0,4917.0,30.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,Soil,P3S1,tobacco,P3,MLG6
Soil_P2S1_a,20.0,0.0,71.0,3139.0,84.0,10.0,0.0,1057.0,0.0,77.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,213.0,0.0,0.0,0.0,36.0,0.0,0.0,40.0,3229.0,31.0,0.0,621.0,0.0,0.0,0.0,0.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Seed_P3S3_b,0.0,0.0,0.0,0.0,288.0,0.0,0.0,1924.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8316.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S3,tobacco,P3,MLG7
Germ_P6S1_Tabac_a,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2646.0,0.0,0.0,78.0,0.0,33.0,0.0,0.0,25.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8001.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,6.0,Germ,P6S1,hemp,P6,MLG12
Soil_P3S2_c,7.0,0.0,30.0,3897.0,295.0,0.0,0.0,941.0,0.0,42.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,419.0,0.0,0.0,0.0,80.0,0.0,3.0,177.0,4091.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,Soil,P3S2,tobacco,P3,MLG7
