Group 1,Group 2,H,p-value,q-value
MLG1 (n=13),MLG10 (n=6),0.9307692307692292,0.33466312069241694,0.7575038271225788
MLG1 (n=13),MLG11 (n=6),0.12307692307692975,0.7257209852083046,0.8894008701162597
MLG1 (n=13),MLG12 (n=16),1.201923076923066,0.27293765570660544,0.6931579253853881
MLG1 (n=13),MLG13 (n=12),0.0029585798816498254,0.9566221917712872,1.0
MLG1 (n=13),MLG14 (n=10),0.24615384615384528,0.6197963884941335,0.8775997118288891
MLG1 (n=13),MLG15 (n=6),0.7692307692307665,0.3804551252503894,0.7971437112213344
MLG1 (n=13),MLG16 (n=3),4.927601809954751,0.026430973778152667,0.21771698740977471
MLG1 (n=13),MLG17 (n=41),0.000921030189317662,0.9757891335550474,1.0
MLG1 (n=13),MLG2 (n=6),0.27692307692307594,0.5987250696528474,0.8641975061970345
MLG1 (n=13),MLG3 (n=6),0.7692307692307665,0.3804551252503894,0.7971437112213344
MLG1 (n=13),MLG4 (n=6),0.6230769230769297,0.4299061750659018,0.8021420095741826
MLG1 (n=13),MLG5 (n=5),0.1967611336032391,0.657347965875579,0.8839268243940517
MLG1 (n=13),MLG6 (n=6),0.27692307692307594,0.5987250696528474,0.8641975061970345
MLG1 (n=13),MLG7 (n=36),2.808205128205117,0.09378325044585342,0.37760098205830456
MLG1 (n=13),MLG8 (n=6),0.03076923076923066,0.860756223383737,0.9676475285541101
MLG1 (n=13),MLG9 (n=6),0.0,1.0,1.0
MLG1 (n=13),NA (n=20),7.635746606334848,0.005722269440782478,0.20250179073190247
MLG10 (n=6),MLG11 (n=6),1.2564102564102626,0.2623316754083529,0.6931579253853881
MLG10 (n=6),MLG12 (n=16),1.9619565217391397,0.16130422648350545,0.5484343700439185
MLG10 (n=6),MLG13 (n=12),0.5614035087719245,0.45369529970393097,0.8071555913337376
MLG10 (n=6),MLG14 (n=10),0.5764705882352956,0.44769907246529284,0.8071555913337376
MLG10 (n=6),MLG15 (n=6),0.1025641025641093,0.7487740417065392,0.8894008701162597
MLG10 (n=6),MLG16 (n=3),5.399999999999999,0.020136751550346346,0.20250179073190247
MLG10 (n=6),MLG17 (n=41),0.7967479674796891,0.3720674558391246,0.7971437112213344
MLG10 (n=6),MLG2 (n=6),0.6410256410256494,0.42333964158244053,0.8021420095741826
