Group 1,Group 2,H,p-value,q-value
NA (n=14),P0 (n=6),3.5986394557823047,0.05782687864342905,0.1387845087442297
NA (n=14),P1 (n=12),17.7883597883598,2.468890722361514e-05,0.00022220016501253625
NA (n=14),P2 (n=38),16.01759114768052,6.27566683632825e-05,0.00037654001017969506
NA (n=14),P3 (n=47),21.443278752818912,3.6445129150570247e-06,0.0001312024649420529
NA (n=14),P4 (n=31),17.989781606892393,2.2209395862326128e-05,0.00022220016501253625
NA (n=14),P5 (n=12),13.335978835978835,0.00026036205984464176,0.0013390048792010147
NA (n=14),P6 (n=28),18.453488372093034,1.741018486558496e-05,0.00022220016501253625
NA (n=14),P7 (n=22),16.190944190944194,5.7267227021805935e-05,0.00037654001017969506
P0 (n=6),P1 (n=12),0.008771929824561653,0.9253803730416995,1.0
P0 (n=6),P2 (n=38),0.1415204678362727,0.7067741160144612,0.8481289392173533
P0 (n=6),P3 (n=47),1.3246650906225454,0.24975652585817207,0.4495617465447097
P0 (n=6),P4 (n=31),0.001697792869279624,0.9671330398944192,1.0
P0 (n=6),P5 (n=12),0.0,1.0,1.0
P0 (n=6),P6 (n=28),0.29387755102041524,0.5877463523689485,0.8008542910109577
P0 (n=6),P7 (n=22),0.0,1.0,1.0
P1 (n=12),P2 (n=38),7.680082559339496,0.005583361362956364,0.024972712139580324
P1 (n=12),P3 (n=47),0.1563829787233999,0.6925086913673013,0.8481289392173533
P1 (n=12),P4 (n=31),7.478739002932542,0.006243178034895081,0.024972712139580324
P1 (n=12),P5 (n=12),4.083333333333343,0.04330814281079161,0.11993024162988446
P1 (n=12),P6 (n=28),1.1289198606271782,0.28800585185678734,0.49372431746877826
P1 (n=12),P7 (n=22),3.787012987012986,0.05165174631921659,0.13281877624941407
P2 (n=38),P3 (n=47),5.780150524753253,0.016208153299338546,0.05304486534328978
P2 (n=38),P4 (n=31),0.0001455251030790805,0.9903750499153665,1.0
P2 (n=38),P5 (n=12),0.5283797729618129,0.4672888341366862,0.6781315285928896
P2 (n=38),P6 (n=28),2.187633262260107,0.13912294445490353,0.30723742557775424
P2 (n=38),P7 (n=22),0.5198054749392327,0.4709246726339511,0.6781315285928896
P3 (n=47),P4 (n=31),6.8057565832341425,0.009086444391540235,0.032711199809544844
P3 (n=47),P5 (n=12),2.102482269503554,0.14706022417745326,0.30723742557775424
P3 (n=47),P6 (n=28),1.6424172132458636,0.19999413924076168,0.37893626382460105
P3 (n=47),P7 (n=22),5.312130422768718,0.021177444269124705,0.06353233280737412
P4 (n=31),P5 (n=12),0.8475073313782673,0.3572584593332898,0.5769985700273292
P4 (n=31),P6 (n=28),2.035944700460817,0.15361871278887712,0.30723742557775424
P4 (n=31),P7 (n=22),0.2740306288693546,0.6006407182582183,0.8008542910109577
P5 (n=12),P6 (n=28),0.2229965156794549,0.6367661479180904,0.8186993330375447
P5 (n=12),P7 (n=22),0.0831168831168867,0.7731171162909481,0.8978134253701333
P6 (n=28),P7 (n=22),0.8082505729564673,0.3686379752952381,0.5769985700273292
