Group 1,Group 2,H,p-value,q-value
Control (n=5),H2O (n=3),0.5555555555555571,0.4560565402502553,0.7296904644004085
Control (n=5),Mock (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),P1S1 (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),P1S2 (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),P1S3 (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),P1S4 (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),P2S1 (n=6),4.0333333333333385,0.044609718024939585,0.14800703773536716
Control (n=5),P2S2 (n=20),11.081538461538472,0.0008719143155887832,0.09791988989188026
Control (n=5),P2S3 (n=6),5.63333333333334,0.017622090962324352,0.09791988989188026
Control (n=5),P2S4 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P3S1 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P3S2 (n=24),12.0,0.0005320055051392492,0.09791988989188026
Control (n=5),P3S3 (n=6),6.5333333333333385,0.01058713733405691,0.09791988989188026
Control (n=5),P3S4 (n=6),6.5333333333333385,0.01058713733405691,0.09791988989188026
Control (n=5),P3S5 (n=5),4.810909090909092,0.02828012256827699,0.12382482026745624
Control (n=5),P4S1 (n=13),10.263157894736835,0.001357131777619879,0.09791988989188026
Control (n=5),P4S2 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P4S3 (n=6),5.63333333333334,0.017622090962324352,0.09791988989188026
Control (n=5),P4S4 (n=6),6.5333333333333385,0.01058713733405691,0.09791988989188026
Control (n=5),P5S1 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P5S2 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P6S1 (n=16),9.845454545454558,0.001702519174521833,0.09791988989188026
Control (n=5),P6S2 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P6S3 (n=6),6.5333333333333385,0.01058713733405691,0.09791988989188026
Control (n=5),P7S1 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),P7S2 (n=6),4.800000000000004,0.028459736916310506,0.12382482026745624
Control (n=5),P7S3 (n=4),6.0,0.014305878435429641,0.09791988989188026
Control (n=5),P7S4 (n=6),7.5,0.0061698993205441645,0.09791988989188026
Control (n=5),PBS (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),Pram_120 (n=3),5.0,0.025347318677468325,0.11429336421840264
Control (n=5),Pram_120_d (n=3),0.5555555555555571,0.4560565402502553,0.7296904644004085
H2O (n=3),Mock (n=3),3.857142857142854,0.049534613435626915,0.14800703773536716
H2O (n=3),P1S1 (n=3),3.857142857142854,0.049534613435626915,0.14800703773536716
H2O (n=3),P1S2 (n=3),3.857142857142854,0.049534613435626915,0.14800703773536716
H2O (n=3),P1S3 (n=3),3.857142857142854,0.049534613435626915,0.14800703773536716
H2O (n=3),P1S4 (n=3),3.857142857142854,0.049534613435626915,0.14800703773536716
H2O (n=3),P2S1 (n=6),1.6666666666666679,0.19670560245894303,0.4452540935967575
H2O (n=3),P2S2 (n=20),7.008333333333326,0.00811311726556581,0.09791988989188026
H2O (n=3),P2S3 (n=6),3.2666666666666657,0.07070114486598293,0.1981229822233194
H2O (n=3),P2S4 (n=6),5.399999999999999,0.020136751550346346,0.09791988989188026
H2O (n=3),P3S1 (n=6),5.399999999999999,0.020136751550346346,0.09791988989188026
H2O (n=3),P3S2 (n=24),7.714285714285708,0.005478553242547383,0.09791988989188026
H2O (n=3),P3S3 (n=6),3.2666666666666657,0.07070114486598293,0.1981229822233194
H2O (n=3),P3S4 (n=6),4.266666666666666,0.038867103812417335,0.14716094267907634
H2O (n=3),P3S5 (n=5),1.8000000000000007,0.17971249487899588,0.42649472468890887
H2O (n=3),P4S1 (n=13),6.882352941176471,0.008705089047463203,0.09791988989188026
H2O (n=3),P4S2 (n=6),5.399999999999999,0.020136751550346346,0.09791988989188026
H2O (n=3),P4S3 (n=6),4.266666666666666,0.038867103812417335,0.14716094267907634
H2O (n=3),P4S4 (n=6),5.399999999999999,0.020136751550346346,0.09791988989188026
H2O (n=3),P5S1 (n=6),5.399999999999999,0.020136751550346346,0.09791988989188026
