id	Category	sample	host	plot	MLG	pielou_e
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
Seed_Control_a	Seed	Control	NA	NA	NA	0.823845907473519
Soil_Control_a	Soil	Control	NA	NA	NA	0.783887248485868
Germ_Control_a	Germ	Control	NA	NA	NA	0.924942992879759
Germ_Control_b	Germ	Control	NA	NA	NA	0.865409890869791
Germ_Control_c	Germ	Control	NA	NA	NA	0.919812321603101
Seed_H2O_a	Seed	H2O	NA	NA	NA	0.791303039468626
Seed_H2O_b	Seed	H2O	NA	NA	NA	0.866146215160795
Seed_H2O_c	Seed	H2O	NA	NA	NA	0.815692177736432
Seed_Mock_a	Seed	Mock	NA	NA	NA	0.972654275109209
Soil_Mock_a	Soil	Mock	NA	NA	NA	0.979200922979446
Germ_Mock_a	Germ	Mock	NA	NA	NA	0.964884214324277
Seed_P1S1_a	Seed	P1S1	oIlseed_rape	P1	MLG17	0.668697755369614
Seed_P1S1_b	Seed	P1S1	oIlseed_rape	P1	MLG17	0.678476225723287
Seed_P1S1_c	Seed	P1S1	oIlseed_rape	P1	MLG17	0.683417183175262
Seed_P1S2_a	Seed	P1S2	oIlseed_rape	P1	MLG17	0.629969935378575
Seed_P1S2_b	Seed	P1S2	oIlseed_rape	P1	MLG17	0.649623356871611
Seed_P1S2_c	Seed	P1S2	oIlseed_rape	P1	MLG17	0.669123324485218
Seed_P1S3_a	Seed	P1S3	oIlseed_rape	P1	MLG16	0.592914757854527
Seed_P1S3_b	Seed	P1S3	oIlseed_rape	P1	MLG16	0.599456041185953
Seed_P1S3_c	Seed	P1S3	oIlseed_rape	P1	MLG16	0.608086461549636
Seed_P1S4_a	Seed	P1S4	oIlseed_rape	P1	MLG17	0.62559603638812
Seed_P1S4_b	Seed	P1S4	oIlseed_rape	P1	MLG17	0.626089769872031
Seed_P1S4_c	Seed	P1S4	oIlseed_rape	P1	MLG17	0.629603851206333
Seed_P2S1_a	Seed	P2S1	oIlseed_rape	P2	MLG15	0.640827364793476
Seed_P2S1_b	Seed	P2S1	oIlseed_rape	P2	MLG15	0.62725582543423
Seed_P2S1_c	Seed	P2S1	oIlseed_rape	P2	MLG15	0.638127852316449
Soil_P2S1_a	Soil	P2S1	oIlseed_rape	P2	MLG15	0.824395691319951
Soil_P2S1_b	Soil	P2S1	oIlseed_rape	P2	MLG15	0.809208878198108
Soil_P2S1_c	Soil	P2S1	oIlseed_rape	P2	MLG15	0.793410799530496
Seed_P2S2_a	Seed	P2S2	oIlseed_rape	P2	MLG17	0.62719537995502
Seed_P2S2_b	Seed	P2S2	oIlseed_rape	P2	MLG17	0.648958059955553
Seed_P2S2_c	Seed	P2S2	oIlseed_rape	P2	MLG17	0.638648536160405
Soil_P2S2_a	Soil	P2S2	oIlseed_rape	P2	MLG17	0.697963999734701
Soil_P2S2_b	Soil	P2S2	oIlseed_rape	P2	MLG17	0.808145061198875
Soil_P2S2_c	Soil	P2S2	oIlseed_rape	P2	MLG17	0.721672968473731
Germ_P2S2_ACN_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.745482184576439
Germ_P2S2_ACN_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.777361376743071
Germ_P2S2_ACN_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.629909260017095
Germ_P2S2_GR24_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.757459609516722
Germ_P2S2_Colza_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.713246578915998
Germ_P2S2_Colza_myro_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.652270413270568
