Group 1,Group 2,H,p-value,q-value
MLG1 (n=13),MLG10 (n=6),2.223076923076931,0.13596185385464668,0.671037536766482
MLG1 (n=13),MLG11 (n=6),0.03076923076923066,0.860756223383737,0.9215436122611772
MLG1 (n=13),MLG12 (n=16),0.4326923076923066,0.5106708223861574,0.798414267210427
MLG1 (n=13),MLG13 (n=12),0.14497041420119672,0.7033889082314289,0.8751608013382128
MLG1 (n=13),MLG14 (n=10),0.8653846153846132,0.35223621918819215,0.798414267210427
MLG1 (n=13),MLG15 (n=6),3.07692307692308,0.0794106259989421,0.46730099145531306
MLG1 (n=13),MLG16 (n=3),3.805429864253391,0.051086661103897146,0.363441070393154
MLG1 (n=13),MLG17 (n=41),1.0030018761725898,0.31658523030762664,0.798414267210427
MLG1 (n=13),MLG2 (n=6),2.223076923076931,0.13596185385464668,0.671037536766482
MLG1 (n=13),MLG3 (n=6),0.49230769230769766,0.48289969778018893,0.798414267210427
MLG1 (n=13),MLG4 (n=6),0.37692307692307736,0.5392545710869419,0.8168905878841792
MLG1 (n=13),MLG5 (n=5),0.11902834008096619,0.7300907315929265,0.8774731476162326
MLG1 (n=13),MLG6 (n=6),0.06923076923077076,0.7924600886080329,0.9215436122611772
MLG1 (n=13),MLG7 (n=36),4.340512820512799,0.037215712459129205,0.33037038240554734
MLG1 (n=13),MLG8 (n=6),0.007692307692309441,0.9301105081235975,0.9550799177376539
MLG1 (n=13),MLG9 (n=6),0.03076923076923066,0.860756223383737,0.9215436122611772
MLG1 (n=13),NA (n=20),0.021719457013560373,0.8828358593807457,0.9251636060633841
MLG10 (n=6),MLG11 (n=6),1.2564102564102626,0.2623316754083529,0.798414267210427
MLG10 (n=6),MLG12 (n=16),2.6304347826087024,0.10483300285833874,0.5728374799044939
MLG10 (n=6),MLG13 (n=12),0.8771929824561369,0.3489716531497432,0.798414267210427
MLG10 (n=6),MLG14 (n=10),0.7529411764705856,0.3855466315711029,0.798414267210427
MLG10 (n=6),MLG15 (n=6),0.025641025641029103,0.8727801237939032,0.9215436122611772
MLG10 (n=6),MLG16 (n=3),5.399999999999999,0.020136751550346346,0.204864414511927
MLG10 (n=6),MLG17 (n=41),1.3170731707317032,0.25111800127447104,0.798414267210427
MLG10 (n=6),MLG2 (n=6),0.2307692307692335,0.6309540411841686,0.8468067394840157
MLG10 (n=6),MLG3 (n=6),0.4102564102564159,0.5218393903336124,0.798414267210427
MLG10 (n=6),MLG4 (n=6),0.6410256410256494,0.42333964158244053,0.798414267210427
MLG10 (n=6),MLG5 (n=5),0.5333333333333385,0.46520881845213957,0.798414267210427
