Group 1,Group 2,H,p-value,q-value
NA (n=14),P0 (n=6),0.10884353741496255,0.7414646126329807,0.8610556791866872
NA (n=14),P1 (n=12),3.621693121693127,0.0570308052693998,0.2933012842426275
NA (n=14),P2 (n=38),0.15363881401614776,0.6950819513437041,0.8610556791866872
NA (n=14),P3 (n=47),0.7062457103637598,0.40069296949801003,0.7677442760968122
NA (n=14),P4 (n=31),0.15387697856141358,0.6948575732805309,0.8610556791866872
NA (n=14),P5 (n=12),0.12962962962964752,0.7188163610152642,0.8610556791866872
NA (n=14),P6 (n=28),0.07119126720456848,0.7896101284133601,0.8883113944650302
NA (n=14),P7 (n=22),0.3801333801333868,0.537531862210606,0.8021024339725964
P0 (n=6),P1 (n=12),0.0,1.0,1.0
P0 (n=6),P2 (n=38),1.197660818713473,0.2737897069794786,0.6160268407038269
P0 (n=6),P3 (n=47),0.0031520882584459287,0.9552275213242639,0.9989496086458931
P0 (n=6),P4 (n=31),1.8488964346349803,0.17391180011181726,0.48200053028002654
P0 (n=6),P5 (n=12),1.973684210526315,0.16005734623194084,0.48200053028002654
P0 (n=6),P6 (n=28),0.34489795918366895,0.5570155791476363,0.8021024339725964
P0 (n=6),P7 (n=22),2.6363636363636402,0.10444235321764801,0.37599247158353283
P1 (n=12),P2 (n=38),7.430340557275542,0.0064133203460593775,0.0577198831145344
P1 (n=12),P3 (n=47),1.737588652482259,0.18744465066445476,0.48200053028002654
P1 (n=12),P4 (n=31),3.2910557184750644,0.06965822032233696,0.31346199145051634
P1 (n=12),P5 (n=12),1.7633333333333354,0.1842092881866489,0.48200053028002654
P1 (n=12),P6 (n=28),0.8919860627177911,0.34493967069544906,0.7304604791197745
P1 (n=12),P7 (n=22),2.748051948051952,0.09737299925508565,0.37599247158353283
P2 (n=38),P3 (n=47),8.611474257142106,0.0033405180356265163,0.040086216427518195
P2 (n=38),P4 (n=31),0.6928450157652151,0.4051983679399842,0.7677442760968122
P2 (n=38),P5 (n=12),0.4045407636738787,0.5247534855587523,0.8021024339725964
P2 (n=38),P6 (n=28),1.5513410391650666,0.21293757633564495,0.5110501832055478
P2 (n=38),P7 (n=22),0.1355400423562685,0.7127556994541959,0.8610556791866872
P3 (n=47),P4 (n=31),11.045785079450582,0.0008888905394094259,0.03200005941873933
P3 (n=47),P5 (n=12),5.278014184397165,0.021596365851124625,0.15549383412809728
P3 (n=47),P6 (n=28),4.018037114061741,0.0450160767608495,0.270096460565097
P3 (n=47),P7 (n=22),9.47018513401494,0.0020883829563500306,0.03759089321430055
P4 (n=31),P5 (n=12),0.49560117302053186,0.48143933163744546,0.7878098154067289
P4 (n=31),P6 (n=28),0.5308755760368626,0.46623898161925537,0.7878098154067289
P4 (n=31),P7 (n=22),0.001303356142074108,0.9712010084057294,0.9989496086458931
P5 (n=12),P6 (n=28),0.031358885017425564,0.8594420946155594,0.9375731941260649
P5 (n=12),P7 (n=22),0.21948051948052694,0.6394360218098001,0.8610556791866872
P6 (n=28),P7 (n=22),0.5515660809778353,0.4576784994640435,0.7878098154067289
