Group 1,Group 2,H,p-value,q-value
Control (n=5),H2O (n=3),0.5555555555555571,0.4560565402502553,0.867457044933313
Control (n=5),Mock (n=3),5.0,0.025347318677468325,0.1876458218511088
Control (n=5),P1S1 (n=3),1.8000000000000007,0.17971249487899588,0.5571087341248873
Control (n=5),P1S2 (n=3),1.8000000000000007,0.17971249487899588,0.5571087341248873
Control (n=5),P1S3 (n=3),5.0,0.025347318677468325,0.1876458218511088
Control (n=5),P1S4 (n=3),1.8000000000000007,0.17971249487899588,0.5571087341248873
Control (n=5),P2S1 (n=6),0.30000000000000426,0.5838824207703623,0.9464237931441243
Control (n=5),P2S2 (n=20),2.2338461538461587,0.13501738157557527,0.47827715965889894
Control (n=5),P2S3 (n=6),0.0,1.0,1.0
Control (n=5),P2S4 (n=6),0.30000000000000426,0.5838824207703623,0.9464237931441243
Control (n=5),P3S1 (n=6),0.30000000000000426,0.5838824207703623,0.9464237931441243
Control (n=5),P3S2 (n=24),8.670000000000002,0.0032349119169146887,0.16109401240277077
Control (n=5),P3S3 (n=6),0.8333333333333286,0.3613104285261801,0.7791737936912406
Control (n=5),P3S4 (n=6),0.0,1.0,1.0
Control (n=5),P3S5 (n=5),0.2727272727272734,0.6015081344405895,0.9475268192502587
Control (n=5),P4S1 (n=13),1.5182186234817792,0.21788926776907386,0.6140515728037536
Control (n=5),P4S2 (n=6),0.033333333333338544,0.8551321405846947,1.0
Control (n=5),P4S3 (n=6),0.033333333333338544,0.8551321405846947,1.0
Control (n=5),P4S4 (n=6),0.033333333333338544,0.8551321405846947,1.0
Control (n=5),P5S1 (n=6),0.8333333333333286,0.3613104285261801,0.7791737936912406
Control (n=5),P5S2 (n=6),0.5333333333333385,0.46520881845213957,0.867457044933313
Control (n=5),P6S1 (n=16),2.461363636363643,0.11667744915846996,0.448402573661021
Control (n=5),P6S2 (n=6),0.5333333333333385,0.46520881845213957,0.867457044933313
Control (n=5),P6S3 (n=6),0.0,1.0,1.0
Control (n=5),P7S1 (n=6),1.2000000000000028,0.27332167829229437,0.6894738784904865
Control (n=5),P7S2 (n=6),0.13333333333333997,0.7150006546880824,1.0
Control (n=5),P7S3 (n=4),0.5400000000000027,0.4624327264504752,0.867457044933313
Control (n=5),P7S4 (n=6),0.0,1.0,1.0
Control (n=5),PBS (n=3),1.8000000000000007,0.17971249487899588,0.5571087341248873
Control (n=5),Pram_120 (n=3),5.0,0.025347318677468325,0.1876458218511088
Control (n=5),Pram_120_d (n=3),0.19999999999999574,0.6547208460185803,0.9693777302245248
H2O (n=3),Mock (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
H2O (n=3),P1S1 (n=3),2.3333333333333286,0.1266304579476181,0.46182872898543076
H2O (n=3),P1S2 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
H2O (n=3),P1S3 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
H2O (n=3),P1S4 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
H2O (n=3),P2S1 (n=6),0.0,1.0,1.0
H2O (n=3),P2S2 (n=20),0.8333333333333286,0.3613104285261801,0.7791737936912406
H2O (n=3),P2S3 (n=6),0.0,1.0,1.0
H2O (n=3),P2S4 (n=6),0.0,1.0,1.0
H2O (n=3),P3S1 (n=6),0.0,1.0,1.0
H2O (n=3),P3S2 (n=24),4.666666666666657,0.03075356125927476,0.21791094835143257
H2O (n=3),P3S3 (n=6),0.0,1.0,1.0
H2O (n=3),P3S4 (n=6),0.0,1.0,1.0
H2O (n=3),P3S5 (n=5),0.19999999999999574,0.6547208460185803,0.9693777302245248
H2O (n=3),P4S1 (n=13),1.3076923076923137,0.25281290101640363,0.6707036649615621
H2O (n=3),P4S2 (n=6),0.0,1.0,1.0
H2O (n=3),P4S3 (n=6),0.0,1.0,1.0
H2O (n=3),P4S4 (n=6),0.0,1.0,1.0
H2O (n=3),P5S1 (n=6),0.0,1.0,1.0
H2O (n=3),P5S2 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
H2O (n=3),P6S1 (n=16),2.45000000000001,0.11752486809663856,0.448402573661021
H2O (n=3),P6S2 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
H2O (n=3),P6S3 (n=6),0.0,1.0,1.0
H2O (n=3),P7S1 (n=6),0.0,1.0,1.0
H2O (n=3),P7S2 (n=6),0.0,1.0,1.0
H2O (n=3),P7S3 (n=4),1.125,0.2888443663464818,0.7022882632737989
H2O (n=3),P7S4 (n=6),0.06666666666666643,0.7962534147376396,1.0
H2O (n=3),PBS (n=3),1.1904761904761898,0.27523352407483126,0.6894738784904865
H2O (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
H2O (n=3),Pram_120_d (n=3),0.04761904761904745,0.8272593465627116,1.0
Mock (n=3),P1S1 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
Mock (n=3),P1S2 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
Mock (n=3),P1S3 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
Mock (n=3),P1S4 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
Mock (n=3),P2S1 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P2S2 (n=20),7.5,0.0061698993205441645,0.16109401240277077
Mock (n=3),P2S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P2S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P3S1 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P3S2 (n=24),7.714285714285708,0.005478553242547383,0.16109401240277077
Mock (n=3),P3S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P3S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P3S5 (n=5),5.0,0.025347318677468325,0.1876458218511088
Mock (n=3),P4S1 (n=13),6.882352941176471,0.008705089047463203,0.16109401240277077
Mock (n=3),P4S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P4S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P4S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P5S1 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P5S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P6S1 (n=16),7.200000000000003,0.007290358091535652,0.16109401240277077
Mock (n=3),P6S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P6S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P7S1 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P7S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),P7S3 (n=4),4.5,0.033894853524689295,0.23178460626482028
Mock (n=3),P7S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
Mock (n=3),PBS (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
Mock (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
Mock (n=3),Pram_120_d (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S1 (n=3),P1S2 (n=3),1.1904761904761898,0.27523352407483126,0.6894738784904865
P1S1 (n=3),P1S3 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S1 (n=3),P1S4 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S1 (n=3),P2S1 (n=6),0.0,1.0,1.0
P1S1 (n=3),P2S2 (n=20),0.13333333333333997,0.7150006546880824,1.0
P1S1 (n=3),P2S3 (n=6),0.0,1.0,1.0
P1S1 (n=3),P2S4 (n=6),0.0,1.0,1.0
P1S1 (n=3),P3S1 (n=6),0.0,1.0,1.0
P1S1 (n=3),P3S2 (n=24),3.720238095238088,0.05375670497585984,0.24688264507431926
P1S1 (n=3),P3S3 (n=6),0.0,1.0,1.0
P1S1 (n=3),P3S4 (n=6),0.0,1.0,1.0
P1S1 (n=3),P3S5 (n=5),0.19999999999999574,0.6547208460185803,0.9693777302245248
P1S1 (n=3),P4S1 (n=13),0.764705882352942,0.38185982928047746,0.8128861601850507
P1S1 (n=3),P4S2 (n=6),0.0,1.0,1.0
P1S1 (n=3),P4S3 (n=6),0.0,1.0,1.0
P1S1 (n=3),P4S4 (n=6),0.0,1.0,1.0
P1S1 (n=3),P5S1 (n=6),0.0,1.0,1.0
P1S1 (n=3),P5S2 (n=6),0.0,1.0,1.0
P1S1 (n=3),P6S1 (n=16),0.7999999999999972,0.3710933695226982,0.7968065423517676
P1S1 (n=3),P6S2 (n=6),0.0,1.0,1.0
P1S1 (n=3),P6S3 (n=6),0.06666666666666643,0.7962534147376396,1.0
P1S1 (n=3),P7S1 (n=6),0.0,1.0,1.0
P1S1 (n=3),P7S2 (n=6),0.0,1.0,1.0
P1S1 (n=3),P7S3 (n=4),1.125,0.2888443663464818,0.7022882632737989
P1S1 (n=3),P7S4 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S1 (n=3),PBS (n=3),2.3333333333333286,0.1266304579476181,0.46182872898543076
P1S1 (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S1 (n=3),Pram_120_d (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S2 (n=3),P1S3 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S2 (n=3),P1S4 (n=3),1.1904761904761898,0.27523352407483126,0.6894738784904865
P1S2 (n=3),P2S1 (n=6),1.6666666666666679,0.19670560245894303,0.5769730635550798
P1S2 (n=3),P2S2 (n=20),2.6999999999999886,0.1003482464622917,0.39818184196237344
P1S2 (n=3),P2S3 (n=6),2.3999999999999986,0.12133525035848367,0.4500587902233751
P1S2 (n=3),P2S4 (n=6),0.0,1.0,1.0
P1S2 (n=3),P3S1 (n=6),0.0,1.0,1.0
P1S2 (n=3),P3S2 (n=24),2.625,0.10519250512004134,0.41083057117748434
P1S2 (n=3),P3S3 (n=6),0.0,1.0,1.0
P1S2 (n=3),P3S4 (n=6),0.0,1.0,1.0
P1S2 (n=3),P3S5 (n=5),0.19999999999999574,0.6547208460185803,0.9693777302245248
P1S2 (n=3),P4S1 (n=13),0.0407239819004559,0.8400716444402709,1.0
P1S2 (n=3),P4S2 (n=6),1.6666666666666679,0.19670560245894303,0.5769730635550798
P1S2 (n=3),P4S3 (n=6),0.06666666666666643,0.7962534147376396,1.0
P1S2 (n=3),P4S4 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S2 (n=3),P5S1 (n=6),0.06666666666666643,0.7962534147376396,1.0
P1S2 (n=3),P5S2 (n=6),0.06666666666666643,0.7962534147376396,1.0
P1S2 (n=3),P6S1 (n=16),0.3125,0.5761501220305787,0.9464237931441243
P1S2 (n=3),P6S2 (n=6),0.06666666666666643,0.7962534147376396,1.0
P1S2 (n=3),P6S3 (n=6),1.6666666666666679,0.19670560245894303,0.5769730635550798
P1S2 (n=3),P7S1 (n=6),0.0,1.0,1.0
P1S2 (n=3),P7S2 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S2 (n=3),P7S3 (n=4),0.125,0.7236736098317629,1.0
P1S2 (n=3),P7S4 (n=6),2.3999999999999986,0.12133525035848367,0.4500587902233751
P1S2 (n=3),PBS (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S2 (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S2 (n=3),Pram_120_d (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S3 (n=3),P1S4 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S3 (n=3),P2S1 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P2S2 (n=20),6.074999999999989,0.013710830078133339,0.16109401240277077
P1S3 (n=3),P2S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P2S4 (n=6),0.0,1.0,1.0
P1S3 (n=3),P3S1 (n=6),0.5999999999999979,0.4385780260810006,0.8530772585732403
P1S3 (n=3),P3S2 (n=24),0.7202380952380878,0.39606582070894025,0.832409521489976
P1S3 (n=3),P3S3 (n=6),0.0,1.0,1.0
P1S3 (n=3),P3S4 (n=6),1.0666666666666664,0.30169958247834494,0.726422295676015
P1S3 (n=3),P3S5 (n=5),0.5555555555555571,0.4560565402502553,0.867457044933313
P1S3 (n=3),P4S1 (n=13),3.805429864253391,0.051086661103897146,0.23681293371526155
P1S3 (n=3),P4S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P4S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P4S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P5S1 (n=6),4.266666666666666,0.038867103812417335,0.23178460626482028
P1S3 (n=3),P5S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P6S1 (n=16),1.0125000000000028,0.3143046604738504,0.7388827890910503
P1S3 (n=3),P6S2 (n=6),3.2666666666666657,0.07070114486598293,0.31033422879227907
P1S3 (n=3),P6S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P7S1 (n=6),1.6666666666666679,0.19670560245894303,0.5769730635550798
P1S3 (n=3),P7S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),P7S3 (n=4),3.1249999999999964,0.07709987174354112,0.33545207355084555
P1S3 (n=3),P7S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S3 (n=3),PBS (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S3 (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S3 (n=3),Pram_120_d (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S4 (n=3),P2S1 (n=6),4.266666666666666,0.038867103812417335,0.23178460626482028
P1S4 (n=3),P2S2 (n=20),5.208333333333329,0.022478873366125387,0.17697652681901893
P1S4 (n=3),P2S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S4 (n=3),P2S4 (n=6),0.0,1.0,1.0
P1S4 (n=3),P3S1 (n=6),0.0,1.0,1.0
P1S4 (n=3),P3S2 (n=24),1.9285714285714306,0.16491482255329715,0.5277274321705508
P1S4 (n=3),P3S3 (n=6),0.0,1.0,1.0
P1S4 (n=3),P3S4 (n=6),0.0,1.0,1.0
P1S4 (n=3),P3S5 (n=5),0.19999999999999574,0.6547208460185803,0.9693777302245248
P1S4 (n=3),P4S1 (n=13),1.0180995475113193,0.31297022633344207,0.7388827890910503
P1S4 (n=3),P4S2 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S4 (n=3),P4S3 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S4 (n=3),P4S4 (n=6),1.0666666666666664,0.30169958247834494,0.726422295676015
P1S4 (n=3),P5S1 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S4 (n=3),P5S2 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S4 (n=3),P6S1 (n=16),0.04999999999999716,0.8230632737581264,1.0
P1S4 (n=3),P6S2 (n=6),0.2666666666666657,0.6055766163353469,0.9475268192502587
P1S4 (n=3),P6S3 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S4 (n=3),P7S1 (n=6),0.0,1.0,1.0
P1S4 (n=3),P7S2 (n=6),0.5999999999999979,0.4385780260810006,0.8530772585732403
P1S4 (n=3),P7S3 (n=4),0.0,1.0,1.0
P1S4 (n=3),P7S4 (n=6),5.399999999999999,0.020136751550346346,0.16109401240277077
P1S4 (n=3),PBS (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S4 (n=3),Pram_120 (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P1S4 (n=3),Pram_120_d (n=3),3.857142857142854,0.049534613435626915,0.23178460626482028
P2S1 (n=6),P2S2 (n=20),0.30000000000001137,0.5838824207703579,0.9464237931441243
P2S1 (n=6),P2S3 (n=6),0.025641025641029103,0.8727801237939032,1.0
P2S1 (n=6),P2S4 (n=6),1.6410256410256494,0.20018480417757442,0.5769730635550798
P2S1 (n=6),P3S1 (n=6),2.07692307692308,0.1495413545846106,0.48478765930697293
P2S1 (n=6),P3S2 (n=24),8.733870967741936,0.003123526642464107,0.16109401240277077
P2S1 (n=6),P3S3 (n=6),1.6410256410256494,0.20018480417757442,0.5769730635550798
P2S1 (n=6),P3S4 (n=6),1.2564102564102626,0.2623316754083529,0.6707036649615621
P2S1 (n=6),P3S5 (n=5),0.8333333333333357,0.3613104285261781,0.7791737936912406
P2S1 (n=6),P4S1 (n=13),3.07692307692308,0.0794106259989421,0.33954888358168345
P2S1 (n=6),P4S2 (n=6),0.2307692307692335,0.6309540411841686,0.9541256232541088
P2S1 (n=6),P4S3 (n=6),0.9230769230769269,0.336668367610035,0.7388827890910503
P2S1 (n=6),P4S4 (n=6),0.9230769230769269,0.336668367610035,0.7388827890910503
P2S1 (n=6),P5S1 (n=6),1.6410256410256494,0.20018480417757442,0.5769730635550798
P2S1 (n=6),P5S2 (n=6),2.07692307692308,0.1495413545846106,0.48478765930697293
P2S1 (n=6),P6S1 (n=16),3.3967391304347814,0.06532544046457546,0.2919046709047696
P2S1 (n=6),P6S2 (n=6),1.6410256410256494,0.20018480417757442,0.5769730635550798
P2S1 (n=6),P6S3 (n=6),0.025641025641029103,0.8727801237939032,1.0
P2S1 (n=6),P7S1 (n=6),1.6410256410256494,0.20018480417757442,0.5769730635550798
P2S1 (n=6),P7S2 (n=6),0.6410256410256494,0.42333964158244053,0.836559610457731
P2S1 (n=6),P7S3 (n=4),2.9090909090909065,0.08808151166219037,0.36712966205417163
P2S1 (n=6),P7S4 (n=6),0.0,1.0,1.0
P2S1 (n=6),PBS (n=3),0.0,1.0,1.0
P2S1 (n=6),Pram_120 (n=3),5.399999999999999,0.020136751550346346,0.16109401240277077
P2S1 (n=6),Pram_120_d (n=3),0.0,1.0,1.0
P2S2 (n=20),P2S3 (n=6),0.4481481481481637,0.5032156836382382,0.8874175251401939
P2S2 (n=20),P2S4 (n=6),0.03333333333333144,0.8551321405847099,1.0
P2S2 (n=20),P3S1 (n=6),0.003703703703720862,0.9514722492225929,1.0
P2S2 (n=20),P3S2 (n=24),14.942222222222227,0.00011085409480080624,0.054983631021199894
P2S2 (n=20),P3S3 (n=6),0.09259259259260944,0.760906727075093,1.0
P2S2 (n=20),P3S4 (n=6),0.014814814814826605,0.9031238431673084,1.0
P2S2 (n=20),P3S5 (n=5),0.29538461538462,0.5867904254454375,0.9475268192502587
P2S2 (n=20),P4S1 (n=13),2.171945701357444,0.14054830843702226,0.48478765930697293
P2S2 (n=20),P4S2 (n=6),0.059259259259278,0.8076705648908064,1.0
P2S2 (n=20),P4S3 (n=6),0.014814814814826605,0.9031238431673084,1.0
P2S2 (n=20),P4S4 (n=6),0.03333333333333144,0.8551321405847099,1.0
P2S2 (n=20),P5S1 (n=6),0.003703703703720862,0.9514722492225929,1.0
P2S2 (n=20),P5S2 (n=6),0.09259259259260944,0.760906727075093,1.0
P2S2 (n=20),P6S1 (n=16),3.6486486486486456,0.05611472402810004,0.25534773502695063
P2S2 (n=20),P6S2 (n=6),0.03333333333333144,0.8551321405847099,1.0
P2S2 (n=20),P6S3 (n=6),0.7259259259259494,0.3942069504679243,0.8320282869450657
P2S2 (n=20),P7S1 (n=6),0.03333333333333144,0.8551321405847099,1.0
P2S2 (n=20),P7S2 (n=6),0.03333333333333144,0.8551321405847099,1.0
P2S2 (n=20),P7S3 (n=4),1.5360000000000014,0.21521418051945504,0.6099784773579983
P2S2 (n=20),P7S4 (n=6),0.3703703703703809,0.5428024537573675,0.912644125639506
P2S2 (n=20),PBS (n=3),0.29999999999999716,0.583882420770367,0.9464237931441243
P2S2 (n=20),Pram_120 (n=3),6.533333333333331,0.010587137334056933,0.16109401240277077
P2S2 (n=20),Pram_120_d (n=3),1.63333333333334,0.2012426209577194,0.5769730635550798
P2S3 (n=6),P2S4 (n=6),0.9230769230769269,0.336668367610035,0.7388827890910503
P2S3 (n=6),P3S1 (n=6),0.9230769230769269,0.336668367610035,0.7388827890910503
P2S3 (n=6),P3S2 (n=24),9.357526881720432,0.002220715907529339,0.16109401240277077
P2S3 (n=6),P3S3 (n=6),0.6410256410256494,0.42333964158244053,0.836559610457731
P2S3 (n=6),P3S4 (n=6),0.6410256410256494,0.42333964158244053,0.836559610457731
P2S3 (n=6),P3S5 (n=5),0.30000000000000426,0.5838824207703623,0.9464237931441243
P2S3 (n=6),P4S1 (n=13),2.776923076923083,0.09563173329079101,0.38563690822953123
P2S3 (n=6),P4S2 (n=6),0.4102564102564159,0.5218393903336124,0.8874175251401939
P2S3 (n=6),P4S3 (n=6),0.1025641025641093,0.7487740417065392,1.0
P2S3 (n=6),P4S4 (n=6),0.4102564102564159,0.5218393903336124,0.8874175251401939
P2S3 (n=6),P5S1 (n=6),0.9230769230769269,0.336668367610035,0.7388827890910503
P2S3 (n=6),P5S2 (n=6),1.2564102564102626,0.2623316754083529,0.6707036649615621
P2S3 (n=6),P6S1 (n=16),2.3967391304347814,0.12158846348776664,0.4500587902233751
P2S3 (n=6),P6S2 (n=6),1.2564102564102626,0.2623316754083529,0.6707036649615621
P2S3 (n=6),P6S3 (n=6),0.0,1.0,1.0
P2S3 (n=6),P7S1 (n=6),1.2564102564102626,0.2623316754083529,0.6707036649615621
P2S3 (n=6),P7S2 (n=6),0.025641025641029103,0.8727801237939032,1.0
P2S3 (n=6),P7S3 (n=4),2.9090909090909065,0.08808151166219037,0.36712966205417163
P2S3 (n=6),P7S4 (n=6),0.025641025641029103,0.8727801237939032,1.0
P2S3 (n=6),PBS (n=3),0.0,1.0,1.0
P2S3 (n=6),Pram_120 (n=3),5.399999999999999,0.020136751550346346,0.16109401240277077
P2S3 (n=6),Pram_120_d (n=3),0.0,1.0,1.0
P2S4 (n=6),P3S1 (n=6),0.0,1.0,1.0
P2S4 (n=6),P3S2 (n=24),0.13172043010753498,0.7166548650599947,1.0
P2S4 (n=6),P3S3 (n=6),0.4102564102564159,0.5218393903336124,0.8874175251401939
P2S4 (n=6),P3S4 (n=6),1.2564102564102626,0.2623316754083529,0.6707036649615621
P2S4 (n=6),P3S5 (n=5),0.5333333333333385,0.46520881845213957,0.867457044933313
P2S4 (n=6),P4S1 (n=13),0.37692307692307736,0.5392545710869419,0.9097628138065413
P2S4 (n=6),P4S2 (n=6),0.4102564102564159,0.5218393903336124,0.8874175251401939
P2S4 (n=6),P4S3 (n=6),2.07692307692308,0.1495413545846106,0.48478765930697293
P2S4 (n=6),P4S4 (n=6),0.9230769230769269,0.336668367610035,0.7388827890910503
P2S4 (n=6),P5S1 (n=6),0.2307692307692335,0.6309540411841686,0.9541256232541088
P2S4 (n=6),P5S2 (n=6),0.2307692307692335,0.6309540411841686,0.9541256232541088
P2S4 (n=6),P6S1 (n=16),0.08695652173912549,0.7680825619009495,1.0
P2S4 (n=6),P6S2 (n=6),0.1025641025641093,0.7487740417065392,1.0
