id	Category	sample	host	plot	MLG	shannon
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
Seed_Control_a	Seed	Control	NA	NA	NA	3.43537564690976
Soil_Control_a	Soil	Control	NA	NA	NA	5.0762448611282
Germ_Control_a	Germ	Control	NA	NA	NA	5.01898556237211
Germ_Control_b	Germ	Control	NA	NA	NA	4.28741048831943
Germ_Control_c	Germ	Control	NA	NA	NA	4.95992000746698
Seed_H2O_a	Seed	H2O	NA	NA	NA	3.99164439892601
Seed_H2O_b	Seed	H2O	NA	NA	NA	4.57793112747
Seed_H2O_c	Seed	H2O	NA	NA	NA	4.39847114163251
Seed_Mock_a	Seed	Mock	NA	NA	NA	1.54162055221422
Soil_Mock_a	Soil	Mock	NA	NA	NA	1.55199674359397
Germ_Mock_a	Germ	Mock	NA	NA	NA	1.52930529724177
Seed_P1S1_a	Seed	P1S1	oIlseed_rape	P1	MLG17	3.83024755090211
Seed_P1S1_b	Seed	P1S1	oIlseed_rape	P1	MLG17	3.78926427829538
Seed_P1S1_c	Seed	P1S1	oIlseed_rape	P1	MLG17	4.05316780538958
Seed_P1S2_a	Seed	P1S2	oIlseed_rape	P1	MLG17	3.43927778399669
Seed_P1S2_b	Seed	P1S2	oIlseed_rape	P1	MLG17	3.60839065586846
Seed_P1S2_c	Seed	P1S2	oIlseed_rape	P1	MLG17	3.88583663191278
Seed_P1S3_a	Seed	P1S3	oIlseed_rape	P1	MLG16	3.08876178083634
Seed_P1S3_b	Seed	P1S3	oIlseed_rape	P1	MLG16	3.27268926523374
Seed_P1S3_c	Seed	P1S3	oIlseed_rape	P1	MLG16	3.31980645504935
Seed_P1S4_a	Seed	P1S4	oIlseed_rape	P1	MLG17	3.43568152948967
Seed_P1S4_b	Seed	P1S4	oIlseed_rape	P1	MLG17	3.4776712558806
Seed_P1S4_c	Seed	P1S4	oIlseed_rape	P1	MLG17	3.53504294126104
Seed_P2S1_a	Seed	P2S1	oIlseed_rape	P2	MLG15	3.65299776274042
Seed_P2S1_b	Seed	P2S1	oIlseed_rape	P2	MLG15	3.52185945784418
Seed_P2S1_c	Seed	P2S1	oIlseed_rape	P2	MLG15	3.70583492405198
Soil_P2S1_a	Soil	P2S1	oIlseed_rape	P2	MLG15	5.74256255093965
Soil_P2S1_b	Soil	P2S1	oIlseed_rape	P2	MLG15	5.87274267483391
Soil_P2S1_c	Soil	P2S1	oIlseed_rape	P2	MLG15	5.2713072514948
Seed_P2S2_a	Seed	P2S2	oIlseed_rape	P2	MLG17	3.52152007401703
Seed_P2S2_b	Seed	P2S2	oIlseed_rape	P2	MLG17	3.71718014577306
Seed_P2S2_c	Seed	P2S2	oIlseed_rape	P2	MLG17	3.50736394077893
Soil_P2S2_a	Soil	P2S2	oIlseed_rape	P2	MLG17	4.65711267961361
Soil_P2S2_b	Soil	P2S2	oIlseed_rape	P2	MLG17	5.34564509178529
Soil_P2S2_c	Soil	P2S2	oIlseed_rape	P2	MLG17	4.68499489492362
Germ_P2S2_ACN_a	Germ	P2S2	oIlseed_rape	P2	MLG17	4.599569168748
Germ_P2S2_ACN_b	Germ	P2S2	oIlseed_rape	P2	MLG17	4.64650655051062
Germ_P2S2_ACN_c	Germ	P2S2	oIlseed_rape	P2	MLG17	3.76514397352687
Germ_P2S2_GR24_c	Germ	P2S2	oIlseed_rape	P2	MLG17	4.33866839085629
Germ_P2S2_Colza_a	Germ	P2S2	oIlseed_rape	P2	MLG17	4.17818490412968
Germ_P2S2_Colza_myro_a	Germ	P2S2	oIlseed_rape	P2	MLG17	4.0876394467775
Germ_P2S2_Colza_myro_b	Germ	P2S2	oIlseed_rape	P2	MLG17	3.76794763823579
Germ_P2S2_Colza_myro_c	Germ	P2S2	oIlseed_rape	P2	MLG17	3.82565054821611
Germ_P2S2_Chanvre_a	Germ	P2S2	oIlseed_rape	P2	MLG17	3.90893188919305
Germ_P2S2_Chanvre_b	Germ	P2S2	oIlseed_rape	P2	MLG17	2.94853631935533
Germ_P2S2_Chanvre_c	Germ	P2S2	oIlseed_rape	P2	MLG17	3.94833503420669
Germ_P2S2_Tabac_a	Germ	P2S2	oIlseed_rape	P2	MLG17	4.14256595180687
Germ_P2S2_Tabac_b	Germ	P2S2	oIlseed_rape	P2	MLG17	3.70519788232071
Germ_P2S2_Tabac_c	Germ	P2S2	oIlseed_rape	P2	MLG17	4.044320844842
Seed_P2S3_a	Seed	P2S3	oIlseed_rape	P2	MLG17	3.68146484274404
Seed_P2S3_b	Seed	P2S3	oIlseed_rape	P2	MLG17	3.76019346667636
Seed_P2S3_c	Seed	P2S3	oIlseed_rape	P2	MLG17	3.72492830216942
Soil_P2S3_a	Soil	P2S3	oIlseed_rape	P2	MLG17	4.67586482498731
Soil_P2S3_b	Soil	P2S3	oIlseed_rape	P2	MLG17	5.555722156098
Soil_P2S3_c	Soil	P2S3	oIlseed_rape	P2	MLG17	5.42682787212905
Seed_P2S4_a	Seed	P2S4	oIlseed_rape	P2	MLG17	2.47405269824335
Seed_P2S4_b	Seed	P2S4	oIlseed_rape	P2	MLG17	2.64268272187321
Seed_P2S4_c	Seed	P2S4	oIlseed_rape	P2	MLG17	2.67550936468054
Soil_P2S4_a	Soil	P2S4	oIlseed_rape	P2	MLG17	5.2818657748484
Soil_P2S4_b	Soil	P2S4	oIlseed_rape	P2	MLG17	5.19384097250812
Soil_P2S4_c	Soil	P2S4	oIlseed_rape	P2	MLG17	4.85447238833858
Seed_P3S1_a	Seed	P3S1	tobacco	P3	MLG6	3.26668300413544
Seed_P3S1_b	Seed	P3S1	tobacco	P3	MLG6	2.42041913525568
Seed_P3S1_c	Seed	P3S1	tobacco	P3	MLG6	3.31041309872004
Soil_P3S1_a	Soil	P3S1	tobacco	P3	MLG6	4.77642526786998
Soil_P3S1_b	Soil	P3S1	tobacco	P3	MLG6	5.12509926272205
Soil_P3S1_c	Soil	P3S1	tobacco	P3	MLG6	5.21203413962276
Seed_P3S2_a	Seed	P3S2	tobacco	P3	MLG7	3.07957611441685
Seed_P3S2_b	Seed	P3S2	tobacco	P3	MLG7	3.02166007287901
Seed_P3S2_c	Seed	P3S2	tobacco	P3	MLG7	3.25377117376381
Soil_P3S2_a	Soil	P3S2	tobacco	P3	MLG7	4.60270463375858
Soil_P3S2_b	Soil	P3S2	tobacco	P3	MLG7	4.48344549450586
Soil_P3S2_c	Soil	P3S2	tobacco	P3	MLG7	4.83300477734281
Germ_P3S2_ACN_a	Germ	P3S2	tobacco	P3	MLG7	3.09011145716752
Germ_P3S2_ACN_b	Germ	P3S2	tobacco	P3	MLG7	2.97679424927712
Germ_P3S2_ACN_c	Germ	P3S2	tobacco	P3	MLG7	3.06459436667416
Germ_P3S2_GR24_a	Germ	P3S2	tobacco	P3	MLG7	3.93697431990699
Germ_P3S2_GR24_b	Germ	P3S2	tobacco	P3	MLG7	3.14541170756761
Germ_P3S2_GR24_c	Germ	P3S2	tobacco	P3	MLG7	2.6780970826682
Germ_P3S2_Colza_a	Germ	P3S2	tobacco	P3	MLG7	2.84830286953476
Germ_P3S2_Colza_b	Germ	P3S2	tobacco	P3	MLG7	2.44947090413855
Germ_P3S2_Colza_c	Germ	P3S2	tobacco	P3	MLG7	2.67190903366972
Germ_P3S2_Colza_myro_a	Germ	P3S2	tobacco	P3	MLG7	3.22621896067812
Germ_P3S2_Colza_myro_b	Germ	P3S2	tobacco	P3	MLG7	2.84352434196869
Germ_P3S2_Colza_myro_c	Germ	P3S2	tobacco	P3	MLG7	2.34429221592939
Germ_P3S2_Chanvre_a	Germ	P3S2	tobacco	P3	MLG7	3.01998887908112
Germ_P3S2_Chanvre_b	Germ	P3S2	tobacco	P3	MLG7	3.31071195952439
Germ_P3S2_Chanvre_c	Germ	P3S2	tobacco	P3	MLG7	3.65761612078773
Germ_P3S2_Tabac_a	Germ	P3S2	tobacco	P3	MLG7	2.94786646158221
Germ_P3S2_Tabac_b	Germ	P3S2	tobacco	P3	MLG7	3.19656059431165
Germ_P3S2_Tabac_c	Germ	P3S2	tobacco	P3	MLG7	3.54668808317041
Seed_P3S3_a	Seed	P3S3	tobacco	P3	MLG7	2.7668789916758
Seed_P3S3_b	Seed	P3S3	tobacco	P3	MLG7	2.94157252468677
Seed_P3S3_c	Seed	P3S3	tobacco	P3	MLG7	2.70074002678885
Soil_P3S3_a	Soil	P3S3	tobacco	P3	MLG7	4.6213391860569
Soil_P3S3_b	Soil	P3S3	tobacco	P3	MLG7	4.97578176042314
Soil_P3S3_c	Soil	P3S3	tobacco	P3	MLG7	5.646676696431
Seed_P3S4_a	Seed	P3S4	tobacco	P3	MLG7	2.96304075397622
Seed_P3S4_b	Seed	P3S4	tobacco	P3	MLG7	3.10776833388938
Seed_P3S4_c	Seed	P3S4	tobacco	P3	MLG7	3.34658852286176
Soil_P3S4_a	Soil	P3S4	tobacco	P3	MLG7	5.52794865791575
Soil_P3S4_b	Soil	P3S4	tobacco	P3	MLG7	5.12821313894066
Soil_P3S4_c	Soil	P3S4	tobacco	P3	MLG7	5.37981545541092
Seed_P3S5_a	Seed	P3S5	tobacco	P3	MLG5	3.17804965512481
Seed_P3S5_b	Seed	P3S5	tobacco	P3	MLG5	2.63271224480518
Seed_P3S5_c	Seed	P3S5	tobacco	P3	MLG5	3.32475964024411
Soil_P3S5_b	Soil	P3S5	tobacco	P3	MLG5	5.92329586848768
Soil_P3S5_c	Soil	P3S5	tobacco	P3	MLG5	5.68070074130752
Seed_P4S1_a	Seed	P4S1	tobacco	P4	MLG1	3.43780044196425
Seed_P4S1_b	Seed	P4S1	tobacco	P4	MLG1	3.6385492964458
Seed_P4S1_c	Seed	P4S1	tobacco	P4	MLG1	3.62316822390075
Soil_P4S1_a	Soil	P4S1	tobacco	P4	MLG1	5.43426686370113
Soil_P4S1_b	Soil	P4S1	tobacco	P4	MLG1	4.95101523720256
Soil_P4S1_c	Soil	P4S1	tobacco	P4	MLG1	5.4313362952412
