sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
Seed_P6S3_a	64646	33207	33207	32304	29509
Seed_P7S2_b	18683	9376	9376	9204	8942
Seed_P1S1_b	18860	9568	9568	9230	8845
Germ_P4S1_Tabac_c	11805	5939	5939	4321	4321
Germ_P6S1_Colza_myro_a	13430	6907	6907	6554	6554
Soil_P5S2_b	17011	8063	8063	7585	7487
Soil_P3S3_b	20544	10208	10208	9763	9603
Germ_P2S2_ACN_b	10860	5264	5264	4990	4968
Germ_P4S1_Colza_myro_c	11769	6014	6014	4200	4169
Seed_H2O_b	16590	8214	8214	8190	7996
Seed_P7S1_a	20689	10612	10612	10407	9955
Soil_P5S1_b	15558	7384	7384	6889	6838
Seed_P3S5_a	23720	12001	12001	11515	11177
Germ_P6S1_Colza_myro_c	16414	8547	8547	7974	7974
Soil_P4S2_b	17814	8381	8381	7516	7438
Seed_P2S3_c	22293	11442	11442	11130	10668
Seed_P3S4_b	20219	10591	10591	10428	10264
Soil_P2S2_b	16158	7839	7839	7492	7492
Germ_P4S1_Chanvre_b	15021	7197	7197	5612	5568
Germ_P3S2_Colza_myro_c	15797	8327	8327	8171	8133
Germ_P4S1_Tabac_b	12157	5962	5962	4632	4632
Seed_P2S4_a	23433	12314	12314	12112	11557
Seed_P1S3_a	19633	10171	10171	9911	9192
Seed_P7S3_b	17633	9027	9027	8822	8440
Soil_P3S5_c	16367	7989	7989	7519	7300
Seed_P7S4_a	21432	10717	10717	10273	10049
Seed_P4S3_a	19073	9679	9679	9423	8745
Germ_P2S2_Tabac_a	11550	5437	5437	4677	4647
Seed_P4S2_c	25899	13210	13210	12939	12121
Germ_P4S1_Chanvre_a	13509	6549	6549	4315	4315
Soil_P4S2_c	17943	8543	8543	7749	7702
Germ_P3S2_GR24_a	13089	6548	6548	6072	5856
Seed_P3S2_b	17550	9291	9291	9068	8864
Soil_P2S3_c	17352	8220	8220	7845	7720
Germ_P2S2_GR24_b	10516	4683	4683	4487	4252
Seed_P3S4_a	16707	8841	8841	8674	8563
Soil_P3S1_a	15782	7641	7641	7323	7323
Soil_P4S2_a	16801	8156	8156	7724	7724
Soil_P2S1_b	18236	8907	8907	8334	8332
Germ_P2S2_ACN_c	16024	8293	8293	7869	7750
Germ_P2S2_GR24_a	9917	4604	4604	3872	3854
Germ_P4S1_ACN_c	12148	5827	5827	2992	2992
Seed_P3S2_c	18241	9539	9539	9406	9211
Soil_P4S3_b	17809	8818	8818	8117	8117
Soil_P2S4_a	18237	8891	8891	8643	8631
Soil_P6S3_b	13824	6851	6851	6419	6400
Soil_P6S2_b	17070	8594	8594	8141	8124
Germ_P6S1_Tabac_c	11391	5468	5468	3386	3386
Seed_Pram_120_d_a	19852	10013	10013	9594	9504
Germ_P4S1_Tabac_a	13352	6700	6700	4729	4729
Seed_P6S1_b	19525	9858	9858	9633	9196
Soil_P5S1_c	13998	6498	6498	5999	5988
Germ_P6S1_ACN_b	17034	8687	8687	8015	7958
Seed_P5S2_b	19151	9928	9928	9734	9337
Soil_P4S4_c	15305	7354	7354	6908	6792
Germ_P3S2_GR24_c	15401	8161	8161	8031	7957
Germ_P4S1_Colza_myro_a	6811	2771	2771	1227	1222
Seed_P3S1_c	19199	10181	10181	9900	9759
Soil_P3S5_b	17406	8629	8629	7363	7206
Soil_P7S3_b	12839	6180	6180	4328	4328
Soil_P7S1_a	20420	10484	10484	10088	10022
Germ_P3S2_ACN_c	15245	7984	7984	7638	7613
Seed_P7S3_c	18953	9657	9657	9439	9099
Germ_P4S1_Colza_b	12724	6704	6704	5190	5053
Germ_P3S2_Colza_b	17097	8897	8897	8591	8511
Germ_P3S2_Tabac_b	16684	8512	8512	8206	8144
Germ_P4S1_ACN_b	12802	6151	6151	3552	3506
