Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Germ-Control-a_S190.ITS1.R1	15.463145715646906	56.96590213026609
Germ-Control-a_S190.ITS1.R2	5.3154563397536245	43.551350983461525
Germ-Control-b_S197.ITS1.R1	19.089913614794987	54.82418785740354
Germ-Control-b_S197.ITS1.R2	9.727460761649835	42.9979316218518
Germ-Control-c_S204.ITS1.R1	17.292389853137514	55.25233644859812
Germ-Control-c_S204.ITS1.R2	6.002670226969292	44.09078771695593
Germ-Mock-a_S171.ITS1.R1	62.97104705655775	20.986069204596546
Germ-Mock-a_S171.ITS1.R2	45.406689349682225	10.162418951017521
Germ-P2S2-ACN-a_S165.ITS1.R1	21.86000738098167	49.28650510517899
Germ-P2S2-ACN-a_S165.ITS1.R2	14.140730717185384	35.30569565752249
Germ-P2S2-ACN-b_S166.ITS1.R1	20.331491712707184	49.3370165745856
Germ-P2S2-ACN-b_S166.ITS1.R2	11.804788213627992	35.791896869244916
Germ-P2S2-ACN-c_S167.ITS1.R1	33.3437343984024	41.69995007488769
Germ-P2S2-ACN-c_S167.ITS1.R2	21.08711932101847	32.71967049425863
Germ-P2S2-Chanvre-a_S217.ITS1.R1	34.99069594343134	35.876442128768225
Germ-P2S2-Chanvre-a_S217.ITS1.R2	12.214365463342016	35.77967994045406
Germ-P2S2-Chanvre-b_S218.ITS1.R1	27.13111947963026	44.91612461485802
Germ-P2S2-Chanvre-b_S218.ITS1.R2	18.598082848339608	29.459089352961307
Germ-P2S2-Chanvre-c_S219.ITS1.R1	30.469947216073557	41.188489698620835
Germ-P2S2-Chanvre-c_S219.ITS1.R2	12.761791248084453	34.650093648901745
Germ-P2S2-Colza-a_S191.ITS1.R1	18.968301181269652	51.312993966176634
Germ-P2S2-Colza-a_S191.ITS1.R2	8.574827908557833	39.60227755587658
Germ-P2S2-Colza-b_S192.ITS1.R1	21.1947547353084	48.57697911607571
Germ-P2S2-Colza-b_S192.ITS1.R2	7.819329771733852	39.76687712481788
Germ-P2S2-Colza-c_S193.ITS1.R1	20.71944019243385	48.02099278373056
Germ-P2S2-Colza-c_S193.ITS1.R2	8.29870981849989	39.41613820249292
Germ-P2S2-Colza-myro-a_S194.ITS1.R1	25.34144893111639	48.849465558194666
Germ-P2S2-Colza-myro-a_S194.ITS1.R2	12.277315914489312	38.502078384798104
Germ-P2S2-Colza-myro-b_S195.ITS1.R1	36.24600907410519	36.04436229205179
Germ-P2S2-Colza-myro-b_S195.ITS1.R2	16.803898504453034	33.456561922365964
Germ-P2S2-Colza-myro-c_S196.ITS1.R1	40.40479294716583	36.214068417458265
Germ-P2S2-Colza-myro-c_S196.ITS1.R2	16.24759421369591	37.90277519091079
Germ-P2S2-GR24-a_S168.ITS1.R1	22.940405364525564	48.93617021276589
Germ-P2S2-GR24-a_S168.ITS1.R2	8.561056771200969	37.753352828476366
Germ-P2S2-GR24-b_S169.ITS1.R1	44.61772537086345	31.257131989349524
Germ-P2S2-GR24-b_S169.ITS1.R2	22.689235450741727	25.351844807911768
Germ-P2S2-GR24-c_S170.ITS1.R1	17.014553014553012	52.76507276507273
Germ-P2S2-GR24-c_S170.ITS1.R2	12.83160083160083	34.76091476091476
Germ-P2S2-Tabac-a_S220.ITS1.R1	18.995670995670995	50.68398268398266
Germ-P2S2-Tabac-a_S220.ITS1.R2	7.653679653679654	39.95670995670995
Germ-P2S2-Tabac-b_S221.ITS1.R1	42.477345914775704	31.932898974013305
Germ-P2S2-Tabac-b_S221.ITS1.R2	16.57305474425223	34.55403280161762
Germ-P2S2-Tabac-c_S222.ITS1.R1	26.469635627530362	45.81376518218626
Germ-P2S2-Tabac-c_S222.ITS1.R2	11.376518218623481	37.56275303643724
Germ-P3S2-ACN-a_S172.ITS1.R1	31.74380299184533	44.607657827941864
Germ-P3S2-ACN-a_S172.ITS1.R2	24.63682021925798	31.824809634390032
Germ-P3S2-ACN-b_S173.ITS1.R1	22.158824448960452	54.26762544942941
Germ-P3S2-ACN-b_S173.ITS1.R2	17.062685633890887	35.360325152415164
Germ-P3S2-ACN-c_S174.ITS1.R1	22.400787143325683	54.083306001967884
Germ-P3S2-ACN-c_S174.ITS1.R2	17.349950803542143	37.08101016726794
Germ-P3S2-Chanvre-a_S223.ITS1.R1	31.110402042118697	43.46681557115508
Germ-P3S2-Chanvre-a_S223.ITS1.R2	23.83535417996171	31.301850670070227
Germ-P3S2-Chanvre-b_S224.ITS1.R1	23.406156095183952	51.64460326484204
Germ-P3S2-Chanvre-b_S224.ITS1.R2	13.156826118736294	39.91716072443762
Germ-P3S2-Chanvre-c_S225.ITS1.R1	18.638439186384392	58.952539089525374
Germ-P3S2-Chanvre-c_S225.ITS1.R2	14.092984640929846	40.18264840182647
Germ-P3S2-Colza-a_S198.ITS1.R1	32.917748917748916	43.73448773448771
Germ-P3S2-Colza-a_S198.ITS1.R2	24.519480519480517	31.001443001443
Germ-P3S2-Colza-b_S199.ITS1.R1	38.00666783646254	38.620810668538326
Germ-P3S2-Colza-b_S199.ITS1.R2	29.315084517751654	26.934549921038784
Germ-P3S2-Colza-c_S200.ITS1.R1	36.14046187915217	41.853843720341644
Germ-P3S2-Colza-c_S200.ITS1.R2	27.522935779816514	29.376779500158165
Germ-P3S2-Colza-myro-a_S201.ITS1.R1	24.376156563674087	52.851455167386334
Germ-P3S2-Colza-myro-a_S201.ITS1.R2	16.682554814108673	38.32781921157405
Germ-P3S2-Colza-myro-b_S202.ITS1.R1	30.208948176130328	48.601109668279996
Germ-P3S2-Colza-myro-b_S202.ITS1.R2	23.137764136465588	33.3254633455318
Germ-P3S2-Colza-myro-c_S203.ITS1.R1	41.09008039501171	37.918592137747666
Germ-P3S2-Colza-myro-c_S203.ITS1.R2	32.42387795150978	26.416408178768123
Germ-P3S2-GR24-a_S175.ITS1.R1	20.047368018947207	54.41974176789664
Germ-P3S2-GR24-a_S175.ITS1.R2	15.211246084498434	37.627015050806015
Germ-P3S2-GR24-b_S176.ITS1.R1	22.865878188108457	53.01311449030496
Germ-P3S2-GR24-b_S176.ITS1.R2	17.137340091720976	36.873441145707616
Germ-P3S2-GR24-c_S177.ITS1.R1	32.43295889877281	46.24375040581775
Germ-P3S2-GR24-c_S177.ITS1.R2	24.836049607168363	32.757613142003734
Germ-P3S2-Tabac-a_S226.ITS1.R1	25.9369907658881	50.529603476371605
Germ-P3S2-Tabac-a_S226.ITS1.R2	19.92123845736013	34.82482346550789
Germ-P3S2-Tabac-b_S227.ITS1.R1	26.732198513545914	49.61040517861427
Germ-P3S2-Tabac-b_S227.ITS1.R2	20.990170222968114	34.29033804842963
Germ-P3S2-Tabac-c_S228.ITS1.R1	22.82654221264884	52.12708669897682
Germ-P3S2-Tabac-c_S228.ITS1.R2	17.656913779692456	36.23526596062948
Germ-P4S1-ACN-a_S178.ITS1.R1	23.984685834396817	50.4541701073493
Germ-P4S1-ACN-a_S178.ITS1.R2	17.738908490353577	32.07717138352976
Germ-P4S1-ACN-b_S179.ITS1.R1	25.511638806436494	50.96078737697235
Germ-P4S1-ACN-b_S179.ITS1.R2	18.747070770192156	32.549601624746145
Germ-P4S1-ACN-c_S180.ITS1.R1	29.214685544945667	46.29568653276257
