Sample	Unique Reads	Duplicate Reads
Germ-Control-a_S190.ITS1.R1	2603.0	12090.0
Germ-Control-a_S190.ITS1.R2	6388.0	8305.0
Germ-Control-b_S197.ITS1.R1	2528.0	13910.0
Germ-Control-b_S197.ITS1.R2	6325.0	10113.0
Germ-Control-c_S204.ITS1.R1	2960.0	15765.0
Germ-Control-c_S204.ITS1.R2	7632.0	11093.0
Germ-Mock-a_S171.ITS1.R1	1516.0	14061.0
Germ-Mock-a_S171.ITS1.R2	5701.0	9876.0
Germ-P2S2-ACN-a_S165.ITS1.R1	2868.0	13390.0
Germ-P2S2-ACN-a_S165.ITS1.R2	6653.0	9605.0
Germ-P2S2-ACN-b_S166.ITS1.R1	2262.0	8598.0
Germ-P2S2-ACN-b_S166.ITS1.R2	4916.0	5944.0
Germ-P2S2-ACN-c_S167.ITS1.R1	2386.0	13638.0
Germ-P2S2-ACN-c_S167.ITS1.R2	5770.0	10254.0
Germ-P2S2-Chanvre-a_S217.ITS1.R1	2381.0	11054.0
Germ-P2S2-Chanvre-a_S217.ITS1.R2	5766.0	7669.0
Germ-P2S2-Chanvre-b_S218.ITS1.R1	2094.0	9590.0
Germ-P2S2-Chanvre-b_S218.ITS1.R2	5243.0	6441.0
Germ-P2S2-Chanvre-c_S219.ITS1.R1	2239.0	9507.0
Germ-P2S2-Chanvre-c_S219.ITS1.R2	5220.0	6526.0
Germ-P2S2-Colza-a_S191.ITS1.R1	2244.0	9523.0
Germ-P2S2-Colza-a_S191.ITS1.R2	5073.0	6694.0
Germ-P2S2-Colza-b_S192.ITS1.R1	2159.0	8136.0
Germ-P2S2-Colza-b_S192.ITS1.R2	4689.0	5606.0
Germ-P2S2-Colza-c_S193.ITS1.R1	1922.0	7224.0
Germ-P2S2-Colza-c_S193.ITS1.R2	4154.0	4992.0
Germ-P2S2-Colza-myro-a_S194.ITS1.R1	2202.0	11270.0
Germ-P2S2-Colza-myro-a_S194.ITS1.R2	5466.0	8006.0
Germ-P2S2-Colza-myro-b_S195.ITS1.R1	2147.0	9755.0
Germ-P2S2-Colza-myro-b_S195.ITS1.R2	4984.0	6918.0
Germ-P2S2-Colza-myro-c_S196.ITS1.R1	2261.0	13846.0
Germ-P2S2-Colza-myro-c_S196.ITS1.R2	5825.0	10282.0
Germ-P2S2-GR24-a_S168.ITS1.R1	1959.0	7958.0
Germ-P2S2-GR24-a_S168.ITS1.R2	4622.0	5295.0
Germ-P2S2-GR24-b_S169.ITS1.R1	1773.0	8743.0
Germ-P2S2-GR24-b_S169.ITS1.R2	4767.0	5749.0
Germ-P2S2-GR24-c_S170.ITS1.R1	2341.0	9684.0
Germ-P2S2-GR24-c_S170.ITS1.R2	5236.0	6789.0
Germ-P2S2-Tabac-a_S220.ITS1.R1	2198.0	9352.0
Germ-P2S2-Tabac-a_S220.ITS1.R2	5171.0	6379.0
Germ-P2S2-Tabac-b_S221.ITS1.R1	2094.0	11259.0
Germ-P2S2-Tabac-b_S221.ITS1.R2	5234.0	8119.0
Germ-P2S2-Tabac-c_S222.ITS1.R1	2247.0	10103.0
Germ-P2S2-Tabac-c_S222.ITS1.R2	5277.0	7073.0
Germ-P3S2-ACN-a_S172.ITS1.R1	2537.0	15980.0
Germ-P3S2-ACN-a_S172.ITS1.R2	6302.0	12215.0
Germ-P3S2-ACN-b_S173.ITS1.R1	1954.0	10840.0
Germ-P3S2-ACN-b_S173.ITS1.R2	5009.0	7785.0
