Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Germ-Control-a_S190.ITS1.R1	Germ-Control-a_S190.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	14693.0	0.0	227-231	48.0	17.71591914517117	228.96569795140542	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-a_S190.ITS1.R2	Germ-Control-a_S190.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	14693.0	0.0	229-233	48.0	43.47648540121146	231.0024501463282	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-b_S197.ITS1.R1	Germ-Control-b_S197.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16438.0	0.0	227-231	49.0	15.372916413188953	228.92456503224236	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-b_S197.ITS1.R2	Germ-Control-b_S197.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16438.0	0.0	229-233	48.0	38.47791702153547	231.00182503954252	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-c_S204.ITS1.R1	Germ-Control-c_S204.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18725.0	0.0	227-231	47.0	15.80774365821095	228.95572763684913	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Control-c_S204.ITS1.R2	Germ-Control-c_S204.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18725.0	0.0	230-233	47.0	40.75834445927904	231.00192256341788	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Mock-a_S171.ITS1.R1	Germ-Mock-a_S171.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	15577.0	0.0	227-231	41.0	9.725877896899275	228.95345701996533	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-Mock-a_S171.ITS1.R2	Germ-Mock-a_S171.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	15577.0	0.0	229-233	40.0	36.598831610708096	231.00353084676124	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-a_S165.ITS1.R1	Germ-P2S2-ACN-a_S165.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16258.0	0.0	227-231	43.0	17.640546192643622	228.95067043916842	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-a_S165.ITS1.R2	Germ-P2S2-ACN-a_S165.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16258.0	0.0	229-233	41.0	40.92139254520851	231.00313691720999	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
