Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Germ-Control-a_S190.ITS1.R1	82.28408085482883	48.0	228.96569795140542	54.54545454545454	14693.0
Germ-Control-a_S190.ITS1.R2	56.52351459878854	48.0	231.0024501463282	45.45454545454545	14693.0
Germ-Control-b_S197.ITS1.R1	84.62708358681104	49.0	228.92456503224236	45.45454545454545	16438.0
Germ-Control-b_S197.ITS1.R2	61.52208297846453	48.0	231.00182503954252	45.45454545454545	16438.0
Germ-Control-c_S204.ITS1.R1	84.19225634178905	47.0	228.95572763684913	54.54545454545454	18725.0
Germ-Control-c_S204.ITS1.R2	59.24165554072096	47.0	231.00192256341788	45.45454545454545	18725.0
Germ-Mock-a_S171.ITS1.R1	90.27412210310072	41.0	228.95345701996533	45.45454545454545	15577.0
Germ-Mock-a_S171.ITS1.R2	63.401168389291904	40.0	231.00353084676124	45.45454545454545	15577.0
Germ-P2S2-ACN-a_S165.ITS1.R1	82.35945380735637	43.0	228.95067043916842	45.45454545454545	16258.0
Germ-P2S2-ACN-a_S165.ITS1.R2	59.07860745479149	41.0	231.00313691720999	45.45454545454545	16258.0
Germ-P2S2-ACN-b_S166.ITS1.R1	79.17127071823205	44.0	228.94926335174955	45.45454545454545	10860.0
Germ-P2S2-ACN-b_S166.ITS1.R2	54.7329650092081	42.0	231.00193370165746	45.45454545454545	10860.0
Germ-P2S2-ACN-c_S167.ITS1.R1	85.10983524712931	45.0	228.9551922116825	45.45454545454545	16024.0
Germ-P2S2-ACN-c_S167.ITS1.R2	63.991512730903644	44.0	231.00156015976037	45.45454545454545	16024.0
Germ-P2S2-Chanvre-a_S217.ITS1.R1	82.27763304800894	47.0	228.95333085225158	45.45454545454545	13435.0
Germ-P2S2-Chanvre-a_S217.ITS1.R2	57.08969110532192	45.0	231.00282843319687	45.45454545454545	13435.0
Germ-P2S2-Chanvre-b_S218.ITS1.R1	82.07805546045874	47.0	228.9530126668949	45.45454545454545	11684.0
Germ-P2S2-Chanvre-b_S218.ITS1.R2	55.12666894899007	47.0	231.00265320095858	45.45454545454545	11684.0
Germ-P2S2-Chanvre-c_S219.ITS1.R1	80.9381917248425	46.0	228.95445257960156	45.45454545454545	11746.0
Germ-P2S2-Chanvre-c_S219.ITS1.R2	55.56785288608888	45.0	231.00323514387875	45.45454545454545	11746.0
Germ-P2S2-Colza-a_S191.ITS1.R1	80.92971870485255	46.0	228.95376901504207	45.45454545454545	11767.0
Germ-P2S2-Colza-a_S191.ITS1.R2	56.896405200985804	45.0	231.00365428741395	45.45454545454545	11767.0
