index,Unassigned,k__Fungi,k__Rhizaria,Category,sample,host,plot,MLG
Soil_Control_a,0.0,9449.0,0.0,Soil,Control,NA,NA,NA
Seed_P7S4_b,0.0,8293.0,0.0,Seed,P7S4,hemp,P7,MLG14
Seed_P3S1_b,0.0,8551.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Germ_P3S2_ACN_a,0.0,9005.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P2S3_a,0.0,8018.0,0.0,Soil,P2S3,oIlseed_rape,P2,MLG17
Seed_P4S3_a,0.0,8745.0,0.0,Seed,P4S3,tobacco,P4,MLG3
Seed_P6S2_c,0.0,10097.0,0.0,Seed,P6S2,hemp,P6,MLG11
Germ_P3S2_Chanvre_a,0.0,6206.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P3S2_Tabac_c,0.0,8139.0,78.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P7S1_a,0.0,9955.0,0.0,Seed,P7S1,hemp,P7,MLG13
Seed_P7S3_c,0.0,9099.0,0.0,Seed,P7S3,hemp,P7,MLG14
Seed_P2S3_a,0.0,9693.0,0.0,Seed,P2S3,oIlseed_rape,P2,MLG17
Soil_P3S2_c,0.0,6404.0,0.0,Soil,P3S2,tobacco,P3,MLG7
Germ_P2S2_Chanvre_b,0.0,4719.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P2S2_ACN_b,0.0,4968.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P4S1_Colza_myro_b,19.0,2309.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P4S1_Colza_myro_a,3.0,1215.0,4.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P7S1_a,0.0,9906.0,116.0,Soil,P7S1,hemp,P7,MLG13
Germ_P2S2_Colza_myro_c,4.0,7530.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P7S4_c,0.0,9190.0,0.0,Soil,P7S4,hemp,P7,MLG14
Germ_P4S1_ACN_c,3.0,2989.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P6S1_ACN_a,0.0,9667.0,0.0,Germ,P6S1,hemp,P6,MLG12
Seed_P4S4_a,0.0,8121.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Soil_P2S1_b,0.0,8332.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Germ_P6S1_Colza_myro_b,0.0,4036.0,12.0,Germ,P6S1,hemp,P6,MLG12
Seed_P3S5_c,0.0,8720.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Germ_P4S1_Chanvre_c,38.0,5127.0,10.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P5S2_b,0.0,7475.0,12.0,Soil,P5S2,tobacco,P5,MLG9
Seed_P4S1_c,0.0,8418.0,0.0,Seed,P4S1,tobacco,P4,MLG1
Germ_P2S2_Colza_b,0.0,3590.0,712.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P2S1_c,0.0,7437.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Soil_P2S2_a,0.0,7525.0,2.0,Soil,P2S2,oIlseed_rape,P2,MLG17
Soil_P4S4_b,12.0,7863.0,10.0,Soil,P4S4,tobacco,P4,MLG4
Soil_P2S4_c,0.0,9596.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Seed_Pram_120_a,0.0,8627.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Germ_P2S2_GR24_c,37.0,5442.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P6S1_b,0.0,6134.0,20.0,Soil,P6S1,hemp,P6,MLG12
Soil_P6S1_c,0.0,8591.0,6.0,Soil,P6S1,hemp,P6,MLG12
Germ_Control_c,0.0,8842.0,0.0,Germ,Control,NA,NA,NA
Germ_P2S2_GR24_a,0.0,3854.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P4S1_Colza_b,40.0,5013.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P3S2_b,0.0,8864.0,0.0,Seed,P3S2,tobacco,P3,MLG7
Seed_H2O_a,0.0,6585.0,0.0,Seed,H2O,NA,NA,NA
Soil_P5S2_a,0.0,8119.0,6.0,Soil,P5S2,tobacco,P5,MLG9
Soil_P7S4_b,0.0,8701.0,0.0,Soil,P7S4,hemp,P7,MLG14
Seed_P1S2_c,0.0,8357.0,0.0,Seed,P1S2,oIlseed_rape,P1,MLG17
Seed_P5S2_b,0.0,9337.0,0.0,Seed,P5S2,tobacco,P5,MLG9
Germ_P4S1_Colza_myro_c,9.0,4160.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_Control_a,0.0,11829.0,0.0,Seed,Control,NA,NA,NA
Germ_P3S2_GR24_b,0.0,6080.0,156.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P6S1_Tabac_c,0.0,3386.0,0.0,Germ,P6S1,hemp,P6,MLG12
Seed_P4S2_a,0.0,9810.0,0.0,Seed,P4S2,tobacco,P4,MLG2
Seed_P6S1_b,0.0,9196.0,0.0,Seed,P6S1,hemp,P6,MLG12
Soil_P2S2_b,0.0,7483.0,9.0,Soil,P2S2,oIlseed_rape,P2,MLG17
Seed_P4S1_b,0.0,9394.0,0.0,Seed,P4S1,tobacco,P4,MLG1
