index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__Taphrinomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entomophthoromycota;c__Basidiobolomycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Mortierellomycota;__,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified,k__Rhizaria;p__Cercozoa;c__unidentified,Category,sample,host,plot,MLG
Soil_Control_a,0.0,103.0,0.0,2887.0,46.0,37.0,0.0,65.0,0.0,3496.0,0.0,0.0,786.0,0.0,159.0,0.0,0.0,7.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,1416.0,0.0,Soil,Control,NA,NA,NA
Seed_P7S4_b,0.0,329.0,0.0,2301.0,0.0,3.0,0.0,0.0,0.0,5283.0,7.0,0.0,9.0,7.0,0.0,0.0,0.0,13.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S4,hemp,P7,MLG14
Seed_P3S1_b,0.0,39.0,0.0,6803.0,17.0,0.0,0.0,0.0,0.0,1081.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Germ_P3S2_ACN_a,0.0,32.0,0.0,5236.0,6.0,0.0,0.0,0.0,0.0,2069.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P2S3_a,0.0,2980.0,32.0,736.0,41.0,58.0,0.0,18.0,0.0,3134.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,37.0,660.0,0.0,0.0,0.0,0.0,165.0,0.0,Soil,P2S3,oIlseed_rape,P2,MLG17
Seed_P4S3_a,0.0,0.0,0.0,1904.0,0.0,14.0,0.0,0.0,0.0,6492.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S3,tobacco,P4,MLG3
Seed_P6S2_c,0.0,98.0,7.0,2205.0,0.0,0.0,0.0,5.0,0.0,7707.0,0.0,5.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,Seed,P6S2,hemp,P6,MLG11
Germ_P3S2_Chanvre_a,0.0,96.0,0.0,3695.0,0.0,0.0,0.0,0.0,0.0,1437.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P3S2_Tabac_c,0.0,1512.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,78.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P7S1_a,0.0,1157.0,0.0,2415.0,2.0,0.0,0.0,0.0,0.0,6209.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S1,hemp,P7,MLG13
