#SampleID	Category	sample	host	plot	MLG
#q2:types	categorical	categorical	categorical	categorical	categorical
Seed_Control_a	Seed	Control	NA	NA	NA
Soil_Control_a	Soil	Control	NA	NA	NA
Germ_Control_a	Germ	Control	NA	NA	NA
Germ_Control_b	Germ	Control	NA	NA	NA
Germ_Control_c	Germ	Control	NA	NA	NA
Seed_H2O_a	Seed	H2O	NA	NA	NA
Seed_H2O_b	Seed	H2O	NA	NA	NA
Seed_H2O_c	Seed	H2O	NA	NA	NA
Seed_Mock_a	Seed	Mock	NA	NA	NA
Soil_Mock_a	Soil	Mock	NA	NA	NA
Germ_Mock_a	Germ	Mock	NA	NA	NA
Seed_P1S1_a	Seed	P1S1	oIlseed_rape	P1	MLG17
Seed_P1S1_b	Seed	P1S1	oIlseed_rape	P1	MLG17
Seed_P1S1_c	Seed	P1S1	oIlseed_rape	P1	MLG17
Seed_P1S2_a	Seed	P1S2	oIlseed_rape	P1	MLG17
Seed_P1S2_b	Seed	P1S2	oIlseed_rape	P1	MLG17
Seed_P1S2_c	Seed	P1S2	oIlseed_rape	P1	MLG17
Seed_P1S3_a	Seed	P1S3	oIlseed_rape	P1	MLG16
Seed_P1S3_b	Seed	P1S3	oIlseed_rape	P1	MLG16
Seed_P1S3_c	Seed	P1S3	oIlseed_rape	P1	MLG16
Seed_P1S4_a	Seed	P1S4	oIlseed_rape	P1	MLG17
Seed_P1S4_b	Seed	P1S4	oIlseed_rape	P1	MLG17
Seed_P1S4_c	Seed	P1S4	oIlseed_rape	P1	MLG17
Seed_P2S1_a	Seed	P2S1	oIlseed_rape	P2	MLG15
Seed_P2S1_b	Seed	P2S1	oIlseed_rape	P2	MLG15
Seed_P2S1_c	Seed	P2S1	oIlseed_rape	P2	MLG15
Soil_P2S1_a	Soil	P2S1	oIlseed_rape	P2	MLG15
Soil_P2S1_b	Soil	P2S1	oIlseed_rape	P2	MLG15
Soil_P2S1_c	Soil	P2S1	oIlseed_rape	P2	MLG15
Seed_P2S2_a	Seed	P2S2	oIlseed_rape	P2	MLG17
Seed_P2S2_b	Seed	P2S2	oIlseed_rape	P2	MLG17
Seed_P2S2_c	Seed	P2S2	oIlseed_rape	P2	MLG17
Soil_P2S2_a	Soil	P2S2	oIlseed_rape	P2	MLG17
Soil_P2S2_b	Soil	P2S2	oIlseed_rape	P2	MLG17
Soil_P2S2_c	Soil	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_ACN_a	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_ACN_b	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_ACN_c	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_GR24_a	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_GR24_b	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_GR24_c	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Colza_a	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Colza_b	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Colza_c	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Colza_myro_a	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Colza_myro_b	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Colza_myro_c	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Chanvre_a	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Chanvre_b	Germ	P2S2	oIlseed_rape	P2	MLG17
Germ_P2S2_Chanvre_c	Germ	P2S2	oIlseed_rape	P2	MLG17
