#OTU ID,Germ_P2S2_Tabac_b,Soil_P6S1_a,Soil_P3S3_c,Soil_P2S1_b,Germ_P4S1_Colza_myro_c,Seed_P4S2_b,Soil_P3S1_b,Soil_P2S1_a,Seed_P3S3_b,Germ_P6S1_Tabac_a,Soil_P3S2_c,Soil_P7S4_c,Seed_P1S3_b,Soil_P4S1_c,Seed_P3S1_a,Seed_P4S3_c,Seed_P3S2_a,Seed_Pram_120_c,Soil_P3S3_a,Soil_P4S3_b,Seed_P1S4_c,Soil_P7S1_a,Seed_P3S5_c,Seed_P3S1_b,Seed_P3S1_c,Germ_P4S1_Chanvre_a,Seed_P4S4_c,Germ_P6S1_Colza_myro_b,Soil_P7S1_b,Seed_P2S1_b,Germ_P2S2_Colza_b,Germ_P3S2_ACN_c,Germ_P4S1_Chanvre_b,Seed_P6S3_b,Soil_P6S1_c,Seed_P5S2_b,Soil_P5S1_a,Germ_P3S2_Chanvre_b,Soil_P7S1_c,Germ_P6S1_Colza_b,Germ_P2S2_Colza_myro_c,Soil_P3S4_a,Soil_P4S3_a,Germ_P3S2_Chanvre_a,Seed_H2O_a,Seed_P2S4_b,Soil_P4S1_a,Soil_P6S2_c,Germ_P6S1_Chanvre_c,Soil_P2S4_b,Germ_P6S1_ACN_c,Seed_P7S2_b,Seed_P3S4_b,Seed_P2S2_c,Seed_Pram_120_d_b,Soil_P5S1_c,Germ_P4S1_Tabac_a,Seed_P6S2_c,Seed_P4S4_b,Seed_H2O_c,Germ_P6S1_ACN_b,Germ_P6S1_Chanvre_b,Germ_Control_a,Germ_P3S2_Colza_a,Soil_P3S4_c,Seed_P6S1_a,Seed_Pram_120_d_c,Soil_P6S3_b,Seed_P3S5_b,Seed_P4S1_c,Soil_P3S1_c,Seed_P4S4_a,Seed_PBS_b,Soil_P5S2_c,Seed_P2S1_c,Seed_P7S4_b,Soil_P3S5_a,Germ_P2S2_Tabac_c,Germ_P6S1_Colza_a,Seed_P3S2_b,Seed_P7S3_a,Germ_P3S2_GR24_a,Soil_P2S2_c,Soil_P4S4_c,Soil_P3S1_a,Seed_P5S1_b,Soil_P3S2_a,Germ_P4S1_Chanvre_c,Soil_P6S1_b,Germ_P2S2_Colza_a,Germ_P3S2_Colza_myro_b,Soil_P5S1_b,Seed_P7S1_a,Seed_P3S2_c,Germ_P2S2_Colza_myro_a,Germ_P4S1_GR24_b,Soil_P5S2_b,Soil_P6S2_a,Germ_P6S1_GR24_c,Soil_P2S3_c,Seed_P7S3_c,Soil_P4S3_c,Soil_P7S2_b,Germ_P2S2_Colza_c,Seed_P4S2_a,Seed_P5S1_c,Seed_P1S4_b,Germ_P3S2_Tabac_a,Germ_Control_b,Soil_Mock_a,Soil_P4S2_b,Seed_P2S4_c,Seed_P5S1_a,Soil_P2S2_a,Soil_P5S2_a,Soil_P7S3_c,Seed_P6S3_a,Seed_P6S2_a,Seed_P5S2_a,Seed_P1S2_a,Soil_P3S3_b,Seed_P4S2_c,Seed_Control_a,Seed_P7S2_a,Soil_P4S4_a,Germ_P2S2_ACN_c,Seed_P2S3_b,Soil_P7S2_c,Germ_P3S2_Colza_myro_a,Seed_Pram_120_b,Germ_P4S1_Tabac_b,Germ_P3S2_Chanvre_c,Germ_P4S1_ACN_c,Seed_P5S2_c,Seed_Pram_120_a,Seed_P7S1_c,Germ_P2S2_Chanvre_a,Seed_P7S3_b,Germ_P2S2_GR24_c,Soil_P2S4_a,Germ_P6S1_Colza_c,Germ_P6S1_Colza_myro_c,Germ_P2S2_GR24_b,Seed_P1S2_c,Seed_P3S3_a,Seed_P6S3_c,Soil_P7S3_b,Seed_P4S3_a,Seed_P7S1_b,Germ_P2S2_ACN_a,Germ_P4S1_Colza_c,Seed_P1S3_a,Seed_P2S2_a,Germ_P4S1_Colza_b,Germ_P4S1_ACN_a,Germ_P4S1_ACN_b,Seed_P6S1_b,Seed_P1S4_a,Seed_PBS_c,Germ_P2S2_ACN_b,Soil_P2S2_b,Soil_P7S4_b,Seed_P4S1_b,Germ_P3S2_Colza_c,Germ_P6S1_GR24_b,Soil_P6S2_b,Seed_P6S2_b,Soil_P6S3_a,Germ_P4S1_GR24_a,Germ_P3S2_ACN_b,Soil_P3S5_c,Germ_P4S1_Colza_myro_a,Germ_P3S2_Colza_b,Germ_P6S1_Chanvre_a,Seed_Mock_a,Seed_P2S3_c,Seed_P7S4_a,Seed_P7S4_c,Soil_P3S5_b,Soil_P7S4_a,Seed_Pram_120_d_a,Soil_P2S4_c,Seed_P3S4_a,Soil_P4S2_c,Soil_P2S3_b,Germ_P3S2_GR24_b,Seed_P3S5_a,Soil_P7S2_a,Soil_P2S1_c,Seed_P1S1_c,Soil_Control_a,Germ_Mock_a,Seed_P6S1_c,Germ_P4S1_Colza_myro_b,Seed_P4S1_a,Germ_P3S2_Colza_myro_c,Germ_P6S1_ACN_a,Germ_P2S2_GR24_a,Soil_P6S3_c,Germ_P3S2_ACN_a,Germ_P3S2_Tabac_c,Soil_P7S3_a,Germ_P6S1_Tabac_b,Soil_P3S4_b,Germ_P3S2_Tabac_b,Seed_P1S3_c,Seed_P2S2_b,Germ_P2S2_Chanvre_b,Seed_PBS_a,Seed_P7S2_c,Seed_P2S4_a,Seed_P1S1_b,Germ_P6S1_Colza_myro_a,Germ_P6S1_Tabac_c,Seed_P4S3_b,Seed_P1S2_b,Germ_P6S1_GR24_a,Germ_P4S1_Tabac_c,Soil_P4S2_a,Germ_P4S1_Colza_a,Germ_P4S1_GR24_c,Germ_P2S2_Colza_myro_b,Seed_P2S1_a,Germ_Control_c,Germ_P2S2_Chanvre_c,Germ_P3S2_GR24_c,Seed_H2O_b,Soil_P3S2_b,Soil_P4S1_b,Soil_P2S3_a,Germ_P2S2_Tabac_a,Soil_P4S4_b,Seed_P3S4_c,Seed_P3S3_c,Seed_P2S3_a,Seed_P1S1_a
0001d123420b59585627edf5a1292ae8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005f069926e3f73c02ce8b0f3a7840f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0032ab5da12fadd744023dc9bbba5169,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00360e9b675235e3ba5f1e6cf402cd73,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00590ce105e930e2e654cc5d5bd12b23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0086e8dc87f9c9274ff29fa5192ab940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b3b2150e42e194ffe3b073aea99750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b7b809f5007592758c652e6c5611ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00beb7649217ae97949238a4c543a8c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
00c905253e84aab5042613bcc22d568c,0,108,164,55,0,0,210,0,0,101,104,117,0,114,0,0,0,0,107,211,0,79,0,0,0,0,0,41,94,0,0,0,0,0,87,0,165,0,90,94,0,165,148,0,0,0,121,74,0,0,0,0,0,0,0,166,0,0,0,220,0,0,0,0,74,0,0,62,0,0,133,0,0,139,0,0,142,34,104,0,0,0,68,103,130,0,132,0,101,0,58,150,0,0,0,51,128,105,0,0,0,177,88,0,0,0,0,0,0,0,219,0,0,128,195,44,0,0,0,0,94,0,0,0,73,0,0,89,0,0,0,0,40,0,0,0,0,0,0,112,72,125,35,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,116,50,0,0,43,163,0,186,0,0,100,49,43,82,0,0,0,0,112,61,0,100,0,155,88,0,0,62,34,0,0,0,0,0,0,0,0,56,201,0,0,0,95,50,33,0,0,49,0,0,0,0,89,60,0,0,0,26,156,0,0,0,0,0,52,0,0,125,82,128,0,99,0,0,0,0
