#SampleID,Category,plot_sample,host,plot,MLG,quantif_DNA,stimulant,buvo_gen_dist,type,elev,genotype
Germ_P6S1_ACN_a,Germ,P6S1,hemp,P6,MLG12,75.79,ACN,0.532745361328125,Conditioned,Conditioned_ACN,G2
Germ_P6S1_ACN_b,Germ,P6S1,hemp,P6,MLG12,66.25,ACN,0.532745361328125,Conditioned,Conditioned_ACN,G2
Germ_P6S1_ACN_c,Germ,P6S1,hemp,P6,MLG12,76.6,ACN,0.532745361328125,Conditioned,Conditioned_ACN,G2
Germ_P6S1_Chanvre_a,Germ,P6S1,hemp,P6,MLG12,73.63,Hemp,0.532745361328125,Germinated,Germinated_Hemp,G2
Germ_P6S1_Chanvre_b,Germ,P6S1,hemp,P6,MLG12,63.87,Hemp,0.532745361328125,Germinated,Germinated_Hemp,G2
Germ_P6S1_Chanvre_c,Germ,P6S1,hemp,P6,MLG12,45.32,Hemp,0.532745361328125,Germinated,Germinated_Hemp,G2
Germ_P6S1_Colza_a,Germ,P6S1,hemp,P6,MLG12,49.95,Oilseed_rape,0.532745361328125,Germinated,Germinated_Oilseed_rape,G2
Germ_P6S1_Colza_b,Germ,P6S1,hemp,P6,MLG12,52.86,Oilseed_rape,0.532745361328125,Germinated,Germinated_Oilseed_rape,G2
Germ_P6S1_Colza_c,Germ,P6S1,hemp,P6,MLG12,58.23,Oilseed_rape,0.532745361328125,Germinated,Germinated_Oilseed_rape,G2
Germ_P6S1_Colza_myro_a,Germ,P6S1,hemp,P6,MLG12,57.26,Oilseed_rape_myrosinase,0.532745361328125,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P6S1_Colza_myro_b,Germ,P6S1,hemp,P6,MLG12,56.22,Oilseed_rape_myrosinase,0.532745361328125,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P6S1_Colza_myro_c,Germ,P6S1,hemp,P6,MLG12,51.13,Oilseed_rape_myrosinase,0.532745361328125,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P6S1_GR24_a,Germ,P6S1,hemp,P6,MLG12,70.51,GR24,0.532745361328125,Germinated,Germinated_GR24,G2
Germ_P6S1_GR24_b,Germ,P6S1,hemp,P6,MLG12,70.34,GR24,0.532745361328125,Germinated,Germinated_GR24,G2
Germ_P6S1_GR24_c,Germ,P6S1,hemp,P6,MLG12,72.12,GR24,0.532745361328125,Germinated,Germinated_GR24,G2
Germ_P6S1_Tabac_a,Germ,P6S1,hemp,P6,MLG12,37.24,Tobacco,0.532745361328125,Germinated,Germinated_Tobacco,G2
Germ_P6S1_Tabac_b,Germ,P6S1,hemp,P6,MLG12,31.62,Tobacco,0.532745361328125,Germinated,Germinated_Tobacco,G2
Germ_P6S1_Tabac_c,Germ,P6S1,hemp,P6,MLG12,44.18,Tobacco,0.532745361328125,Germinated,Germinated_Tobacco,G2
