#SampleID,Category,plot_sample,host,plot,MLG,quantif_DNA,stimulant,buvo_gen_dist,type,elev,genotype
Germ_P6S1_ACN_a,Germ,P6S1,hemp,P6,MLG12,89.85,ACN,0.532745361328125,Conditioned,Conditioned_ACN,G2
Germ_P6S1_ACN_b,Germ,P6S1,hemp,P6,MLG12,62.87,ACN,0.532745361328125,Conditioned,Conditioned_ACN,G2
Germ_P6S1_ACN_c,Germ,P6S1,hemp,P6,MLG12,67.82,ACN,0.532745361328125,Conditioned,Conditioned_ACN,G2
Germ_P6S1_Chanvre_a,Germ,P6S1,hemp,P6,MLG12,50.99,Hemp,0.532745361328125,Germinated,Germinated_Hemp,G2
Germ_P6S1_Chanvre_b,Germ,P6S1,hemp,P6,MLG12,76.35,Hemp,0.532745361328125,Germinated,Germinated_Hemp,G2
Germ_P6S1_Chanvre_c,Germ,P6S1,hemp,P6,MLG12,92.08,Hemp,0.532745361328125,Germinated,Germinated_Hemp,G2
Germ_P6S1_Colza_a,Germ,P6S1,hemp,P6,MLG12,48.95,Oilseed_rape,0.532745361328125,Germinated,Germinated_Oilseed_rape,G2
Germ_P6S1_Colza_b,Germ,P6S1,hemp,P6,MLG12,56.36,Oilseed_rape,0.532745361328125,Germinated,Germinated_Oilseed_rape,G2
Germ_P6S1_Colza_c,Germ,P6S1,hemp,P6,MLG12,47.18,Oilseed_rape,0.532745361328125,Germinated,Germinated_Oilseed_rape,G2
Germ_P6S1_Colza_myro_a,Germ,P6S1,hemp,P6,MLG12,33.82,Oilseed_rape_myrosinase,0.532745361328125,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P6S1_Colza_myro_b,Germ,P6S1,hemp,P6,MLG12,48.65,Oilseed_rape_myrosinase,0.532745361328125,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P6S1_Colza_myro_c,Germ,P6S1,hemp,P6,MLG12,40.62,Oilseed_rape_myrosinase,0.532745361328125,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P6S1_GR24_a,Germ,P6S1,hemp,P6,MLG12,125.36,GR24,0.532745361328125,Germinated,Germinated_GR24,G2
Germ_P6S1_GR24_b,Germ,P6S1,hemp,P6,MLG12,79.04,GR24,0.532745361328125,Germinated,Germinated_GR24,G2
Germ_P6S1_GR24_c,Germ,P6S1,hemp,P6,MLG12,81.66,GR24,0.532745361328125,Germinated,Germinated_GR24,G2
Germ_P6S1_Tabac_a,Germ,P6S1,hemp,P6,MLG12,36.92,Tobacco,0.532745361328125,Germinated,Germinated_Tobacco,G2
Germ_P6S1_Tabac_b,Germ,P6S1,hemp,P6,MLG12,50.87,Tobacco,0.532745361328125,Germinated,Germinated_Tobacco,G2
Germ_P6S1_Tabac_c,Germ,P6S1,hemp,P6,MLG12,59.49,Tobacco,0.532745361328125,Germinated,Germinated_Tobacco,G2
Seed_P6S1_a,Seed,P6S1,hemp,P6,MLG12,72.06,NA,0.532745361328125,Seed,Seed_NA,G2
Seed_P6S1_b,Seed,P6S1,hemp,P6,MLG12,54.23,NA,0.532745361328125,Seed,Seed_NA,G2
Seed_P6S1_c,Seed,P6S1,hemp,P6,MLG12,37.7,NA,0.532745361328125,Seed,Seed_NA,G2
Seed_P6S2_a,Seed,P6S2,hemp,P6,MLG11,24.35,NA,0.520245361328125,NA,NA,G2
Seed_P6S2_b,Seed,P6S2,hemp,P6,MLG11,52.11,NA,0.520245361328125,NA,NA,G2
Seed_P6S2_c,Seed,P6S2,hemp,P6,MLG11,38.67,NA,0.520245361328125,NA,NA,G2
Seed_P6S3_a,Seed,P6S3,hemp,P6,MLG10,2.8,NA,0.507745361328125,NA,NA,G2
Seed_P6S3_b,Seed,P6S3,hemp,P6,MLG10,60.43,NA,0.507745361328125,NA,NA,G2
Seed_P6S3_c,Seed,P6S3,hemp,P6,MLG10,40.97,NA,0.507745361328125,NA,NA,G2
Seed_P7S1_a,Seed,P7S1,hemp,P7,MLG13,61.87,NA,0.532696533203125,NA,NA,G2
Seed_P7S1_b,Seed,P7S1,hemp,P7,MLG13,45.11,NA,0.532696533203125,NA,NA,G2
Seed_P7S1_c,Seed,P7S1,hemp,P7,MLG13,66.19,NA,0.532696533203125,NA,NA,G2
Seed_P7S2_a,Seed,P7S2,hemp,P7,MLG13,67.17,NA,0.532696533203125,NA,NA,G2
Seed_P7S2_b,Seed,P7S2,hemp,P7,MLG13,49.04,NA,0.532696533203125,NA,NA,G2
Seed_P7S2_c,Seed,P7S2,hemp,P7,MLG13,40.42,NA,0.532696533203125,NA,NA,G2
Seed_P7S3_a,Seed,P7S3,hemp,P7,MLG14,27.43,NA,0.545196533203125,NA,NA,G2
Seed_P7S3_b,Seed,P7S3,hemp,P7,MLG14,62.17,NA,0.545196533203125,NA,NA,G2
Seed_P7S3_c,Seed,P7S3,hemp,P7,MLG14,33.46,NA,0.545196533203125,NA,NA,G2
Seed_P7S4_a,Seed,P7S4,hemp,P7,MLG14,60.06,NA,0.545196533203125,NA,NA,G2
Seed_P7S4_b,Seed,P7S4,hemp,P7,MLG14,50.72,NA,0.545196533203125,NA,NA,G2
Seed_P7S4_c,Seed,P7S4,hemp,P7,MLG14,57.76,NA,0.545196533203125,NA,NA,G2
Soil_P6S1_a,Soil,P6S1,hemp,P6,MLG12,26.67,NA,0.532745361328125,Soil,Soil_NA,G2
Soil_P6S1_b,Soil,P6S1,hemp,P6,MLG12,47.7,NA,0.532745361328125,Soil,Soil_NA,G2
Soil_P6S1_c,Soil,P6S1,hemp,P6,MLG12,37.59,NA,0.532745361328125,Soil,Soil_NA,G2
Soil_P6S2_a,Soil,P6S2,hemp,P6,MLG11,24.39,NA,0.520245361328125,NA,NA,G2
Soil_P6S2_b,Soil,P6S2,hemp,P6,MLG11,30.75,NA,0.520245361328125,NA,NA,G2
Soil_P6S2_c,Soil,P6S2,hemp,P6,MLG11,49.88,NA,0.520245361328125,NA,NA,G2
Soil_P6S3_a,Soil,P6S3,hemp,P6,MLG10,23.51,NA,0.507745361328125,NA,NA,G2
Soil_P6S3_b,Soil,P6S3,hemp,P6,MLG10,49.04,NA,0.507745361328125,NA,NA,G2
Soil_P6S3_c,Soil,P6S3,hemp,P6,MLG10,38.43,NA,0.507745361328125,NA,NA,G2
Soil_P7S1_a,Soil,P7S1,hemp,P7,MLG13,29.74,NA,0.532696533203125,NA,NA,G2
Soil_P7S1_b,Soil,P7S1,hemp,P7,MLG13,27.49,NA,0.532696533203125,NA,NA,G2
Soil_P7S1_c,Soil,P7S1,hemp,P7,MLG13,33.19,NA,0.532696533203125,NA,NA,G2
Soil_P7S2_a,Soil,P7S2,hemp,P7,MLG13,25.56,NA,0.532696533203125,NA,NA,G2
