Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
8d61140bea051eec307aa75344941be0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,uncultured bacterium
54a6d0d15ff039491db138cbdbbdbbe4,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,uncultured Ktedobacteria bacterium
f88c331217d3daff5e0209645ac53748,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,uncultured Ktedobacteria bacterium
c9082d064fb69fe039e560fbc02c7493,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,unidentified
ecc423b8fefd03a92aa1a97fc74a654c,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,unidentified
20b3df08cd5fac2be26a2928155bab69,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,unidentified
828f2392b5d0d65ad32d46dd82cac8f3,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,unidentified
896083bb019d1c346782d30f7ea49d86,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,unidentified
cb5ca9ea57b4297619b4459a0347252f,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,unidentified
cb5fb831db0e4095871d14a91fe11562,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured bacterium
f1d9430d6c75c5299a78c4928bdc37a0,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured bacterium
2e4a2e5ad75f2d321aadefddacb2fca7,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured proteobacterium
7d3d72e6e8169ce35a326462f6fa1bba,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured proteobacterium
cb5b9907447a49154182dee3ea78d16e,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured proteobacterium
a59dad442900daa4d20ffaf064b0be7d,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,unidentified
a7df094d8658dc1eb88279486da96f5d,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured bacterium
2f210bff485d5e8cf44e972f65d1fb42,Bacteria,Acidobacteria,Subgroup 6,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37
33534bfb3d8960f7b040e5f31f33d010,Bacteria,Acidobacteria,Subgroup 6,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37
7f03b586e14233366c942fe5e240cb7b,Bacteria,Acidobacteria,Subgroup 6,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37
