Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
00041a6c3f5d956b1582dbc6ac90ac65,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_pseudodeflectus
00e943a2d4bae192bdda93223800f4f2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Eucasphaeria,unidentified
0116c6c634e5ccd69a6878b356a1faaa,Fungi,Ascomycota,Sordariomycetes,Phomatosporales,Phomatosporaceae,Phomatospora,Phomatospora_dinemasporium
012fefbaca10e116b44bc8487b98912f,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Dactylonectria,Dactylonectria_anthuriicola
0143418fa6c2a76061480b51a0457c09,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,unidentified
016047796f90fcc30e6a134f3a0324ea,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,unidentified
0199ccaba4b9ddb61e61ead53e486f07,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified
01a5b71d28d6db3fcc1542759aab66cf,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,unidentified
01b17541cd091959ac84e8d603eb38c4,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified
01c3fc40f0e63dd8bba9e0f0dfeabb3e,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_macrospinosa
025e9f8070cfa905aa869508c3797e82,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria_bassiana
0281613f62ed9907e2f58125ae8c0feb,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,unidentified
02890133a4a26eb797544b850d16ae5b,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified
02c7e7cdeb0568d41c6124c97221e9dc,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Gliocladium,Gliocladium_cibotii
044dfb3bbe0a7a5be63d9d3cad2241d2,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,unidentified
045afad24b90df5a8b137075dd04e89e,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_inaequale
04ba5801045987c7ca491d8bf12b3bb7,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified
051d15d6763799b6bf41139803520dee,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,unidentified
059d02e424bdad17535367451a46c2a4,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Crocicreas,unidentified
06b58b7c6963d2d0b01bfa88a979bd55,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,unidentified,unidentified
071f2c54392a77dd909a98a5ec9bc540,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella_urticicola
0726f5f88230183ce26aa43663305b0a,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Dactylonectria,Dactylonectria_anthuriicola
07577aecc8b04875e69695e24b5e9131,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_alternatum
07688e895b66791a5de3d66d0682909f,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,unidentified
0850268819a58f0dcf2207d8b3dbad84,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Arthrobotrys_elegans
08567203d223a287cee508c9e3dac255,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_flavoviride
0895b4b71fba523fe5bd06cb6a3ed0fa,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,unidentified
089e1ddc8dd3497b035afd29ba6f3ecb,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,unidentified,unidentified
08aa40ef0aa6b18ffb43111a0fc52a0f,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Gliocladium,Gliocladium_cibotii
08f9d58a00ff946a02a12492ac91e63c,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,unidentified,unidentified
0915e33b278ca972d96b44a7b9901cdd,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Monosporascus,unidentified
09d4cad92896acc798e1e39e3486fff7,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unidentified
09df28438aa91e8496834fe4ebfe5a10,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,Phialocephala_humicola
0a01ee805e6a2ec95458247fb46c2919,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified
0a166c2bd2cbc46f9e319decdb1a52bd,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia_eucalypti
0a58e218e3414c45d176d478d4939b63,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,unidentified
0a772036be5f88b1bfbee4b6c4dc39e5,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Gamsia,Gamsia_simplex
0ac8fe462cc5ff0ad02aa8cd81e339c5,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,Phialocephala_humicola
0b0338e11b65e5e2bc48d7dea85eb5ad,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified
0b046e5d3be3ee3ac9a45e66f1d0d785,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_glaebosa
0b6e7bfb448349fde94be2d2ed6986f2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,unidentified
0b701706ea080a1a8fd91d77fab33341,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Cadophora,Cadophora_orchidicola
0b75f7f002da679014a11818485ef4e9,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,unidentified
0b766ff54cd437c612bb8ce462c837f9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Helminthosporium_solani
